,Season,variable,value
0,24/25,Bundesliga,0.27
20,24/25,Ligue_1,0.29
10,24/25,La_Liga,0.3
30,24/25,Premier_League,0.32
40,24/25,Serie_A,0.34
50,24/25,Super_Lig,0.41
21,23/24,Ligue_1,0.23
41,23/24,Serie_A,0.34
51,23/24,Super_Lig,0.38
11,23/24,La_Liga,0.4
31,23/24,Premier_League,0.4
1,23/24,Bundesliga,0.41
2,22/23,Bundesliga,0.22
12,22/23,La_Liga,0.23
32,22/23,Premier_League,0.3
42,22/23,Serie_A,0.31
22,22/23,Ligue_1,0.33
52,22/23,Super_Lig,0.34
