Season,Bundesliga,La_Liga,Ligue_1,Premier_League,Serie_A,Super_Lig
24/25,0.05,0.02,0.04,0.01,0.01,0.09
23/24,0.03,0.02,0.03,0.03,0.03,0.13
22/23,0.01,0.02,0.02,0.02,0.03,0.03
21/22,0.03,0.02,0.02,0.03,0.02,0.01
20/21,0.02,0.02,0.02,0.02,0.01,0.02
19/20,0.02,0.03,0.06,0.07,0.01,0.01
18/19,0.04,0.04,0.04,0.05,0.03,0.03
17/18,0.06,0.04,0.04,0.03,0.03,0.02
16/17,0.05,0.03,0.05,0.01,0.02,0.02
15/16,0.09,0.06,0.07,0.01,0.03,0.04
