Season,Bundesliga,La_Liga,Ligue_1,Premier_League,Serie_A,Super_Lig
24/25,0.02,0.16,0.12,0.31,0.09,0.51
23/24,0.1,0.14,0.02,0.16,0.11,0.15
22/23,0.01,0.06,0.12,0.04,0.08,0.11
21/22,0.1,0.01,0.01,0.11,0.02,0.13
20/21,0.11,0.01,0.09,0.1,0.11,0.03
19/20,0.07,0.04,0.13,0.07,0.12,0.0
18/19,0.09,0.02,0.02,0.15,0.17,0.03
17/18,0.05,0.2,0.04,0.01,0.1,0.19
16/17,0.04,0.1,0.0,0.07,0.1,0.06
15/16,0.04,0.01,0.13,0.14,0.03,0.06
