Season,Bundesliga,La_Liga,Ligue_1,Premier_League,Serie_A,Super_Lig
24/25,0.27,0.3,0.29,0.32,0.34,0.41
23/24,0.41,0.4,0.23,0.4,0.34,0.38
22/23,0.22,0.23,0.33,0.3,0.31,0.34
21/22,0.25,0.22,0.24,0.35,0.32,0.21
20/21,0.27,0.3,0.26,0.26,0.4,0.22
19/20,0.29,0.25,0.24,0.29,0.31,0.18
18/19,0.33,0.18,0.25,0.4,0.33,0.17
17/18,0.23,0.3,0.29,0.35,0.39,0.31
16/17,0.22,0.4,0.29,0.36,0.39,0.25
15/16,0.28,0.3,0.22,0.23,0.28,0.28
