Siralama,Takim,Mac,Galibiyet,Beraberlik,Maglubiyet,Attigi_Gol,Yedigi_Gol,Averaj,Puan
1,Slavia Prag,34,26,8,0,85,20,65,86
2,Sparta Prag,34,23,5,6,82,43,39,74
3,Jablonec,34,21,6,7,59,33,26,69
4,Slovacko,34,19,6,9,58,33,25,63
5,Viktoria Plzen,34,17,7,10,60,45,15,58
6,Slovan Liberec,34,14,10,10,44,32,12,52
7,Pardubice,34,15,7,12,41,42,-1,52
8,Banik Ostrava,34,13,10,11,48,38,10,49
9,Sigma Olomouc,34,11,12,11,40,40,0,45
10,Bohemians 1905,34,10,13,11,40,37,3,43
11,Mlada Boleslav,34,10,9,15,49,54,-5,39
12,Karvina,34,9,12,13,37,49,-12,39
13,C. Budejovice,34,9,11,14,33,47,-14,38
14,Fastav Zlin,34,8,8,18,30,50,-20,32
15,Teplice,34,7,9,18,34,66,-32,30
16,Zbrojovka Brno,34,5,11,18,33,57,-24,26
17,Pribram,34,5,10,19,26,65,-39,25
18,SFC Opava,34,3,8,23,23,71,-48,17
