Siralama,Takim,Mac,Galibiyet,Beraberlik,Maglubiyet,Attigi_Gol,Yedigi_Gol,Averaj,Puan
1,Sporting,23,16,5,2,61,20,41,53
2,Benfica,23,17,2,4,53,18,35,53
3,Porto,24,15,5,4,49,19,30,50
4,Braga,23,14,5,4,39,20,19,47
5,Santa Clara,23,12,3,8,25,23,2,39
6,Casa Pia,24,10,6,8,30,29,1,36
7,Vitória SC,24,8,11,5,32,26,6,35
8,Estoril,23,9,7,7,30,35,-5,34
9,Famalicão,24,7,10,7,27,26,1,31
10,Moreirense,23,7,5,11,28,35,-7,26
11,Nacional,24,7,5,12,23,32,-9,26
12,Rio Ave,23,6,8,9,25,38,-13,26
13,Arouca,24,6,7,11,23,38,-15,25
14,Gil Vicente,23,5,7,11,23,35,-12,22
15,Estrela Amadora,23,5,6,12,19,34,-15,21
16,Avs FS,23,3,11,9,19,34,-15,20
17,Farense,23,3,7,13,15,33,-18,16
18,Boavista,23,2,6,15,14,40,-26,12
