Siralama,Takim,Mac,Galibiyet,Beraberlik,Maglubiyet,Attigi_Gol,Yedigi_Gol,Averaj,Puan
1,Genk,34,23,6,5,78,37,41,75
2,Union SG,34,23,6,5,70,41,29,75
3,Antwerp,34,22,6,6,59,26,33,72
4,Club Brugge,34,16,11,7,61,36,25,59
5,Gent,34,16,8,10,64,38,26,56
6,Standard,34,16,7,11,58,45,13,55
7,Westerlo,34,14,9,11,61,53,8,51
8,Cercle,34,13,11,10,50,46,4,50
9,Charleroi,34,14,6,14,45,52,-7,48
10,OH Leuven,34,13,9,12,56,48,8,48
11,Anderlecht,34,13,7,14,49,46,3,46
12,St. Truiden,34,11,9,14,37,40,-3,42
13,Mechelen,34,11,7,16,49,63,-14,40
14,Kortrijk,34,8,7,19,37,61,-24,31
15,Eupen,34,7,7,20,40,75,-35,28
16,KV Oostende,34,7,6,21,37,76,-39,27
17,Zulte Waregem,34,6,9,19,50,78,-28,27
18,RFC Seraing,34,5,5,24,28,68,-40,20
