Siralama,Takim,Mac,Galibiyet,Beraberlik,Maglubiyet,Attigi_Gol,Yedigi_Gol,Averaj,Puan
1,Slavia Prag,30,23,4,3,71,19,52,73
2,Viktoria Plzen,30,22,6,2,53,19,34,72
3,Sparta Prag,30,20,6,4,65,32,33,66
4,Slovacko,30,18,5,7,50,30,20,59
5,Banik Ostrava,30,14,9,7,54,39,15,51
6,Hradec Kralove,30,9,13,8,38,40,-2,40
7,Mlada Boleslav,30,11,5,14,45,48,-3,38
8,Slovan Liberec,30,10,7,13,29,38,-9,37
9,Sigma Olomouc,30,9,10,11,39,37,2,37
10,C. Budejovice,30,9,9,12,40,46,-6,36
11,Fastav Zlin,30,8,6,16,36,53,-17,30
12,Teplice,30,8,3,19,29,49,-20,27
13,Jablonec,30,4,14,12,22,45,-23,26
14,Bohemians 1905,30,6,8,16,34,56,-22,26
15,Pardubice,30,5,9,16,35,67,-32,24
16,Karvina,30,3,8,19,30,52,-22,17
