Siralama,Takim,Mac,Galibiyet,Beraberlik,Maglubiyet,Attigi_Gol,Yedigi_Gol,Averaj,Puan
1,Union SG,34,24,5,5,78,27,51,77
2,Club Brugge,34,21,9,4,72,37,35,72
3,Anderlecht,34,18,10,6,72,36,36,64
4,Antwerp,34,19,6,9,55,38,17,63
5,Gent,34,18,8,8,56,30,26,62
6,Charleroi,34,15,9,10,55,46,9,54
7,Mechelen,34,15,7,12,57,61,-4,52
8,Genk,34,15,6,13,66,47,19,51
9,St. Truiden,34,15,6,13,42,40,2,51
10,Cercle,34,12,9,13,49,46,3,45
11,OH Leuven,34,10,11,13,47,58,-11,41
12,KV Oostende,34,10,7,17,34,61,-27,37
13,Kortrijk,34,9,10,15,43,48,-5,37
14,Standard,34,9,9,16,32,51,-19,36
15,Eupen,34,8,8,18,37,61,-24,32
16,Zulte Waregem,34,8,8,18,42,69,-27,32
17,RFC Seraing,34,8,4,22,30,68,-38,28
18,Beerschot,34,4,4,26,33,76,-43,16
