Siralama,Takim,Mac,Galibiyet,Beraberlik,Maglubiyet,Attigi_Gol,Yedigi_Gol,Averaj,Puan
1,Trabzonspor,38,23,12,3,69,36,33,81
2,Fenerbahçe,38,21,10,7,73,38,35,73
3,Konyaspor,38,20,8,10,66,45,21,68
4,Başakşehir,38,19,8,11,56,36,20,65
5,Alanyaspor,38,19,7,12,67,58,9,64
6,Beşiktaş,38,15,14,9,56,48,8,59
7,Antalyaspor,38,16,11,11,54,47,7,59
8,Karagümrük,38,16,9,13,47,52,-5,57
9,Adana Demirspor,38,15,10,13,60,47,13,55
10,Sivasspor,38,14,12,12,52,50,2,54
11,Kasımpaşa,38,15,8,15,67,57,10,53
12,Hatayspor,38,15,8,15,56,60,-4,53
13,Galatasaray,38,14,10,14,51,53,-2,52
14,Kayserispor,38,12,11,15,54,61,-7,47
15,Gaziantep FK,38,12,10,16,48,56,-8,46
16,Giresunspor,38,12,9,17,41,47,-6,45
17,Ç. Rizespor,38,10,6,22,44,71,-27,36
18,Altay SK,38,9,7,22,39,57,-18,34
19,Göztepe,38,7,7,24,40,77,-37,28
20,Y. Malatyaspor,38,5,5,28,27,71,-44,20
