Siralama,Takim,Mac,Galibiyet,Beraberlik,Maglubiyet,Attigi_Gol,Yedigi_Gol,Averaj,Puan
1,Genk,28,19,5,4,52,32,20,62
2,Club Brugge,28,15,8,5,58,33,25,53
3,Union SG,28,14,10,4,45,23,22,52
4,Anderlecht,27,13,6,8,45,25,20,45
5,Antwerp,28,12,9,7,47,31,16,45
6,Gent,28,10,12,6,39,31,8,42
7,Standard,27,10,8,9,22,30,-8,38
8,Charleroi,28,10,7,11,34,31,3,37
9,OH Leuven,27,7,12,8,25,29,-4,33
10,Mechelen,27,8,8,11,42,38,4,32
11,Dender,28,8,8,12,32,48,-16,32
12,Cercle,28,7,11,10,28,38,-10,32
13,Westerlo,27,8,6,13,46,48,-2,30
14,St. Truiden,28,6,10,12,37,53,-16,28
15,Kortrijk,28,5,5,18,24,54,-30,20
16,Beerschot,27,2,9,16,24,56,-32,15
