Siralama,Takim,Mac,Galibiyet,Beraberlik,Maglubiyet,Attigi_Gol,Yedigi_Gol,Averaj,Puan
1,Sparta Prag,30,24,4,2,70,26,44,76
2,Slavia Prag,30,22,6,2,62,23,39,72
3,Viktoria Plzen,30,19,5,6,67,33,34,62
4,Banik Ostrava,30,13,6,11,48,39,9,45
5,Mlada Boleslav,30,12,8,10,50,46,4,44
6,Slovacko,30,11,8,11,39,40,-1,41
7,Slovan Liberec,30,10,10,10,46,46,0,40
8,Sigma Olomouc,30,10,7,13,40,45,-5,37
9,Hradec Kralove,30,9,10,11,32,38,-6,37
10,Teplice,30,9,9,12,31,40,-9,36
11,Bohemians 1905,30,8,11,11,29,40,-11,35
12,Jablonec,30,6,12,12,35,45,-10,30
13,Pardubice,30,7,7,16,29,42,-13,28
14,Karvina,30,6,7,17,30,52,-22,25
15,Zlin,30,5,10,15,36,61,-25,25
16,C. Budejovice,30,6,6,18,34,62,-28,24
