Siralama,Takim,Mac,Galibiyet,Beraberlik,Maglubiyet,Attigi_Gol,Yedigi_Gol,Averaj,Puan
1,Bayern Münih,24,19,4,1,72,20,52,61
2,Leverkusen,24,15,8,1,55,28,27,53
3,Frankfurt,24,12,6,6,50,37,13,42
4,Mainz,24,12,5,7,39,25,14,41
5,Freiburg,23,12,3,8,34,36,-2,39
6,Leipzig,24,10,8,6,39,33,6,38
7,Wolfsburg,24,10,7,7,48,38,10,37
8,Gladbach,24,11,4,9,38,35,3,37
9,Stuttgart,24,10,6,8,42,37,5,36
10,Dortmund,24,10,5,9,45,38,7,35
11,Augsburg,23,8,7,8,27,35,-8,31
12,Bremen,24,8,6,10,36,49,-13,30
13,Hoffenheim,24,6,7,11,31,46,-15,25
14,U. Berlin,23,6,6,11,21,35,-14,24
15,St. Pauli,24,6,3,15,18,29,-11,21
16,Heidenheim,24,4,3,17,27,50,-23,15
17,Bochum,24,3,6,15,22,48,-26,15
18,Kiel,23,3,4,16,34,59,-25,13
