Siralama,Takim,Mac,Galibiyet,Beraberlik,Maglubiyet,Attigi_Gol,Yedigi_Gol,Averaj,Puan
1,PSV,34,29,4,1,111,21,90,91
2,Feyenoord,34,26,6,2,92,26,66,84
3,Twente,34,21,6,7,69,36,33,69
4,AZ Alkmaar,34,19,8,7,70,39,31,65
5,Ajax,34,15,11,8,74,61,13,56
6,NEC Nijmegen,34,14,11,9,68,51,17,53
7,Utrecht,34,13,11,10,49,47,2,50
8,Sparta,34,14,7,13,51,48,3,49
9,Go Ahead Eagles,34,12,10,12,47,46,1,46
10,Fortuna Sittard,34,9,11,14,37,56,-19,38
11,Heerenveen,34,10,7,17,53,70,-17,37
12,PEC Zwolle,34,9,9,16,45,67,-22,36
13,Almere City,34,7,13,14,33,59,-26,34
14,Heracles,34,9,6,19,41,74,-33,33
15,RKC Waalwijk,34,7,8,19,38,56,-18,29
16,Excelsior,34,6,11,17,50,73,-23,29
17,Volendam,34,4,7,23,34,88,-54,19
18,Vitesse,34,6,6,22,30,74,-44,6
