Siralama,Takim,Mac,Galibiyet,Beraberlik,Maglubiyet,Attigi_Gol,Yedigi_Gol,Averaj,Puan
1,Slavia Prag,23,20,2,1,48,8,40,62
2,Sparta Prag,24,16,4,4,47,26,21,52
3,Viktoria Plzen,23,15,4,4,45,22,23,49
4,Banik Ostrava,24,15,3,6,40,21,19,48
5,Jablonec,24,12,4,8,44,22,22,40
6,Sigma Olomouc,24,10,5,9,38,35,3,35
7,Mlada Boleslav,23,9,7,7,37,27,10,34
8,Hradec Kralove,23,8,6,9,23,23,0,30
9,Bohemians 1905,23,7,9,7,28,32,-4,30
10,Slovan Liberec,23,7,7,9,33,27,6,28
11,Slovacko,22,6,8,8,20,32,-12,26
12,Teplice,24,7,4,13,27,38,-11,25
13,Karvina,22,6,6,10,26,41,-15,24
14,Pardubice,24,3,6,15,17,40,-23,15
15,Dukla Prag,22,3,5,14,16,39,-23,14
16,C. Budejovice,24,0,4,20,10,66,-56,4
