Siralama,Takim,Mac,Galibiyet,Beraberlik,Maglubiyet,Attigi_Gol,Yedigi_Gol,Averaj,Puan
1,Galatasaray,24,20,4,0,59,23,36,64
2,Fenerbahçe,24,18,4,2,60,23,37,58
3,Samsunspor,24,14,4,6,39,26,13,46
4,Beşiktaş,24,12,8,4,38,23,15,44
5,Eyüpspor,24,11,7,6,36,24,12,40
6,Göztepe,23,10,5,8,40,28,12,35
7,Başakşehir,23,9,6,8,39,31,8,33
8,Trabzonspor,23,8,8,7,39,28,11,32
9,Alanyaspor,25,8,8,9,29,34,-5,32
10,Kasımpaşa,24,7,10,7,42,47,-5,31
11,Ç. Rizespor,25,9,4,12,31,42,-11,31
12,Antalyaspor,24,8,6,10,28,43,-15,30
13,Gaziantep FK,23,8,5,10,30,33,-3,29
14,Konyaspor,24,6,7,11,30,38,-8,25
15,Sivasspor,24,6,6,12,28,40,-12,24
16,Bodrum FK,25,6,6,13,17,29,-12,24
17,Kayserispor,24,5,9,10,24,44,-20,24
18,Hatayspor,24,2,7,15,24,43,-19,13
19,Adana Demirspor,25,2,4,19,23,57,-34,-2
