Siralama,Takim,Mac,Galibiyet,Beraberlik,Maglubiyet,Attigi_Gol,Yedigi_Gol,Averaj,Puan
1,Club Brugge,34,24,4,6,73,26,47,76
2,Antwerp,34,18,6,10,57,48,9,60
3,Anderlecht,34,15,13,6,51,34,17,58
4,Genk,34,16,8,10,67,48,19,56
5,KV Oostende,34,15,8,11,49,41,8,53
6,Standard,34,13,11,10,52,41,11,50
7,Gent,34,14,7,13,55,42,13,49
8,Mechelen,34,13,9,12,54,54,0,48
9,Beerschot,34,14,5,15,58,64,-6,47
10,Zulte Waregem,34,14,4,16,53,69,-16,46
11,OH Leuven,34,12,9,13,54,59,-5,45
12,Eupen,34,10,13,11,44,55,-11,43
13,Charleroi,34,11,9,14,46,49,-3,42
14,Kortrijk,34,11,6,17,44,57,-13,39
15,St. Truiden,34,10,8,16,41,52,-11,38
16,Cercle,34,11,3,20,40,51,-11,36
17,Waasland-Beveren,34,8,7,19,44,70,-26,31
18,Mouscron,34,7,10,17,32,54,-22,31
