Wk,Day,Date,Time,Home,Away,xG,xG.1,Score,Attendance,Referee,season,game_id
1.0,Fri,2021-08-13,21:00,Valencia,Getafe,1.5,1.4,1–0,9868.0,Jesús Gil,2021-2022,0
1.0,Sat,2021-08-14,19:30,Mallorca,Betis,0.5,0.6,1–1,6279.0,Antonio Matéu Lahoz,2021-2022,1
1.0,Sat,2021-08-14,19:30,Cádiz,Levante,0.6,0.9,1–1,6941.0,Santiago Jaime,2021-2022,2
1.0,Sat,2021-08-14,22:00,Alavés,Real Madrid,1.7,1.7,1–4,3968.0,César Soto,2021-2022,3
1.0,Sat,2021-08-14,22:00,Osasuna,Espanyol,0.9,0.5,0–0,6715.0,Miguel Ángel Ortiz Arias,2021-2022,4
1.0,Sun,2021-08-15,17:30,Celta Vigo,Atlético Madrid,2.3,1.5,1–2,5401.0,José Luis Munuera,2021-2022,5
1.0,Sun,2021-08-15,20:00,Barcelona,Real Sociedad,2.8,0.8,4–2,20384.0,Alejandro Hernández,2021-2022,6
1.0,Sun,2021-08-15,22:15,Sevilla,Rayo Vallecano,3.7,0.4,3–0,13962.0,Isidro Díaz de Mera,2021-2022,7
1.0,Mon,2021-08-16,20:00,Villarreal,Granada,1.1,0.3,0–0,7837.0,Pablo González,2021-2022,8
1.0,Mon,2021-08-16,22:00,Elche,Athletic Club,1.1,0.6,0–0,9145.0,Adrián Cordero,2021-2022,9
2.0,Fri,2021-08-20,21:00,Betis,Cádiz,1.1,1.6,1–1,23745.0,Valentín Pizarro,2021-2022,11
2.0,Sat,2021-08-21,17:00,Alavés,Mallorca,0.5,0.7,0–1,2896.0,Alejandro Muñíz,2021-2022,12
2.0,Sat,2021-08-21,19:30,Espanyol,Villarreal,1.3,0.6,0–0,11095.0,Jorge Figueroa,2021-2022,13
2.0,Sat,2021-08-21,19:30,Granada,Valencia,1.1,1.5,1–1,6267.0,Carlos del Cerro,2021-2022,14
2.0,Sat,2021-08-21,22:00,Athletic Club,Barcelona,1.4,1.0,1–1,9394.0,Juan Martínez,2021-2022,15
2.0,Sun,2021-08-22,17:00,Real Sociedad,Rayo Vallecano,1.9,0.5,1–0,7652.0,Santiago Jaime,2021-2022,16
2.0,Sun,2021-08-22,19:30,Atlético Madrid,Elche,1.2,0.2,1–0,24926.0,Ricardo de Burgos,2021-2022,17
2.0,Sun,2021-08-22,22:00,Levante,Real Madrid,1.9,1.6,3–3,9838.0,Guillermo Cuadra,2021-2022,18
2.0,Mon,2021-08-23,20:00,Getafe,Sevilla,0.5,1.2,0–1,4810.0,José Sánchez,2021-2022,19
2.0,Mon,2021-08-23,22:00,Osasuna,Celta Vigo,2.0,0.1,0–0,7189.0,Hsu Jason,2021-2022,20
3.0,Fri,2021-08-27,20:00,Mallorca,Espanyol,1.0,0.4,1–0,7529.0,Isidro Díaz de Mera,2021-2022,22
3.0,Fri,2021-08-27,22:15,Valencia,Alavés,1.6,0.4,3–0,10627.0,Miguel Ángel Ortiz Arias,2021-2022,23
3.0,Sat,2021-08-28,17:00,Celta Vigo,Athletic Club,1.1,1.4,0–1,5492.0,Antonio Matéu Lahoz,2021-2022,24
3.0,Sat,2021-08-28,19:30,Real Sociedad,Levante,1.0,0.4,1–0,7758.0,José Luis Munuera,2021-2022,25
3.0,Sat,2021-08-28,19:30,Elche,Sevilla,0.5,1.3,1–1,10385.0,Valentín Pizarro,2021-2022,26
3.0,Sat,2021-08-28,22:00,Betis,Real Madrid,0.6,0.9,0–1,22590.0,Alejandro Hernández,2021-2022,27
3.0,Sun,2021-08-29,17:00,Barcelona,Getafe,1.1,0.4,2–1,26543.0,Pablo González,2021-2022,28
