Wk,Day,Date,Time,Home,Away,xG,xG.1,Score,Attendance,Referee,season,game_id
1.0,Sun,2020-09-20,12:30,Parma,Napoli,0.3,1.6,0–2,1000.0,Maurizio Mariani,2020-2021,2
1.0,Sun,2020-09-20,18:00,Sassuolo,Cagliari,2.1,0.9,1–1,850.0,Livio Marinelli,2020-2021,4
1.0,Sun,2020-09-20,20:45,Juventus,Sampdoria,2.0,0.8,3–0,1000.0,Marco Piccinini,2020-2021,5
1.0,Mon,2020-09-21,20:45,Milan,Bologna,2.6,1.1,2–0,1000.0,Federico La Penna,2020-2021,6
2.0,Sat,2020-09-26,15:00,Torino,Atalanta,0.6,2.1,2–4,1000.0,Massimiliano Irrati,2020-2021,8
2.0,Sat,2020-09-26,18:00,Sampdoria,Benevento,1.0,1.1,2–3,1000.0,Federico Dionisi,2020-2021,9
2.0,Sat,2020-09-26,18:00,Cagliari,Lazio,1.2,2.3,0–2,1000.0,Davide Massa,2020-2021,10
2.0,Sat,2020-09-26,20:45,Inter,Fiorentina,2.3,2.4,4–3,1000.0,Giampaolo Calvarese,2020-2021,11
2.0,Sun,2020-09-27,12:30,Spezia,Sassuolo,1.4,2.1,1–4,1000.0,Davide Ghersini,2020-2021,12
2.0,Sun,2020-09-27,15:00,Hellas Verona,Udinese,0.9,2.2,1–0,1000.0,Manuel Volpi,2020-2021,13
2.0,Sun,2020-09-27,18:00,Napoli,Genoa,2.9,0.7,6–0,1000.0,Juan Sacchi,2020-2021,15
2.0,Sun,2020-09-27,20:45,Roma,Juventus,2.8,1.9,2–2,1000.0,Marco Di Bello,2020-2021,16
2.0,Mon,2020-09-28,20:45,Bologna,Parma,1.6,1.4,4–1,1000.0,Paolo Valeri,2020-2021,17
1.0,Wed,2020-09-30,18:00,Benevento,Inter,1.5,3.6,2–5,1000.0,Marco Piccinini,2020-2021,19
1.0,Wed,2020-09-30,18:00,Udinese,Spezia,1.8,0.8,0–2,1000.0,Alessandro Prontera,2020-2021,20
1.0,Wed,2020-09-30,20:45,Lazio,Atalanta,2.3,1.8,1–4,1000.0,Fabio Maresca,2020-2021,21
3.0,Fri,2020-10-02,20:45,Fiorentina,Sampdoria,1.7,2.2,1–2,1000.0,Piero Giacomelli,2020-2021,23
3.0,Sat,2020-10-03,15:00,Sassuolo,Crotone,1.8,1.9,4–1,1000.0,Ivan Pezzuto,2020-2021,24
3.0,Sat,2020-10-03,20:45,Udinese,Roma,1.5,1.0,0–1,1000.0,Rosario Abisso,2020-2021,25
3.0,Sun,2020-10-04,12:30,Atalanta,Cagliari,3.4,0.8,5–2,1000.0,Fabrizio Pasqua,2020-2021,26
3.0,Sun,2020-10-04,15:00,Benevento,Bologna,1.0,2.0,1–0,1000.0,Simone Sozza,2020-2021,27
3.0,Sun,2020-10-04,15:00,Parma,Hellas Verona,1.1,0.6,1–0,1000.0,Antonio Giua,2020-2021,28
3.0,Sun,2020-10-04,15:00,Lazio,Inter,1.2,0.6,1–1,1000.0,Marco Guida,2020-2021,29
3.0,Sun,2020-10-04,18:00,Milan,Spezia,2.6,0.2,3–0,1000.0,Marco Serra,2020-2021,30
4.0,Sat,2020-10-17,15:00,Napoli,Atalanta,1.6,0.7,4–1,1000.0,Marco Di Bello,2020-2021,32
4.0,Sat,2020-10-17,18:00,Sampdoria,Lazio,1.3,0.5,3–0,1000.0,Daniele Orsato,2020-2021,33
4.0,Sat,2020-10-17,18:00,Inter,Milan,2.8,2.1,1–2,1000.0,Maurizio Mariani,2020-2021,34
4.0,Sat,2020-10-17,20:45,Crotone,Juventus,1.2,1.8,1–1,1000.0,Francesco Fourneau,2020-2021,35
4.0,Sun,2020-10-18,12:30,Bologna,Sassuolo,1.4,2.7,3–4,1000.0,Daniele Doveri,2020-2021,36
4.0,Sun,2020-10-18,15:00,Torino,Cagliari,1.4,1.9,2–3,1000.0,Federico La Penna,2020-2021,37
4.0,Sun,2020-10-18,15:00,Spezia,Fiorentina,0.9,1.0,2–2,1000.0,Gianluca Manganiello,2020-2021,38
4.0,Sun,2020-10-18,18:00,Udinese,Parma,1.3,1.0,3–2,1000.0,Michael Fabbri,2020-2021,39
4.0,Sun,2020-10-18,20:45,Roma,Benevento,4.0,1.6,5–2,1000.0,Giovanni Ayroldi,2020-2021,40
4.0,Mon,2020-10-19,20:45,Hellas Verona,Genoa,1.1,0.4,0–0,10002.0,Antonio Rapuano,2020-2021,41
5.0,Fri,2020-10-23,20:45,Sassuolo,Torino,2.1,2.1,3–3,700.0,Marco Guida,2020-2021,43
5.0,Sat,2020-10-24,15:00,Atalanta,Sampdoria,2.1,2.1,1–3,1000.0,Giampaolo Calvarese,2020-2021,44
5.0,Sat,2020-10-24,18:00,Genoa,Inter,0.0,1.7,0–2,1000.0,Davide Massa,2020-2021,45
5.0,Sat,2020-10-24,20:45,Lazio,Bologna,1.5,1.7,2–1,1000.0,Massimiliano Irrati,2020-2021,46
5.0,Sun,2020-10-25,12:30,Cagliari,Crotone,2.2,1.6,4–2,1000.0,Antonio Di Martino,2020-2021,47
5.0,Sun,2020-10-25,15:00,Parma,Spezia,3.5,0.8,2–2,1000.0,Valerio Marini,2020-2021,48
5.0,Sun,2020-10-25,15:00,Benevento,Napoli,0.8,2.2,1–2,1000.0,Daniele Doveri,2020-2021,49
5.0,Sun,2020-10-25,18:00,Fiorentina,Udinese,1.1,2.6,3–2,1000.0,Francesco Fourneau,2020-2021,50
5.0,Sun,2020-10-25,20:45,Juventus,Hellas Verona,1.5,0.7,1–1,1000.0,Fabrizio Pasqua,2020-2021,51
38.0,Sun,2021-05-23,15:00,Inter,Udinese,3.0,1.3,5–1,1000.0,Manuel Volpi,2020-2021,417
