Wk,Day,Date,Time,Home,Away,xG,xG.1,Score,Attendance,Referee,season,game_id
34.0,Sat,2018-04-21,20:00,Metz,Caen,1.0,0.7,1–1,16518.0,Karim Abed,2017-2018,368
34.0,Sat,2018-04-21,20:00,Toulouse,Angers,2.6,0.7,2–0,14414.0,Jérôme Brisard,2017-2018,369
34.0,Sat,2018-04-21,20:00,Guingamp,Monaco,3.3,0.2,3–1,14968.0,Benoît Millot,2017-2018,370
34.0,Sat,2018-04-21,20:00,Amiens,Strasbourg,0.8,2.1,3–1,9784.0,Olivier Thual,2017-2018,371
34.0,Sun,2018-04-22,15:00,Nice,Montpellier,1.3,0.9,1–0,21285.0,Ruddy Buquet,2017-2018,372
34.0,Sun,2018-04-22,17:00,Saint-Étienne,Troyes,2.1,0.8,2–1,31692.0,Stéphane Jochem,2017-2018,373
34.0,Sun,2018-04-22,21:00,Bordeaux,Paris S-G,1.2,0.8,0–1,41290.0,Antony Gautier,2017-2018,374
33.0,Wed,2018-04-25,18:45,Caen,Toulouse,0.3,0.6,0–0,18658.0,Benoît Millot,2017-2018,376
35.0,Fri,2018-04-27,20:45,Montpellier,Saint-Étienne,1.7,1.4,0–1,15814.0,Thomas Léonard,2017-2018,378
35.0,Sat,2018-04-28,17:00,Lyon,Nantes,2.7,0.5,2–0,50443.0,Antony Gautier,2017-2018,379
35.0,Sat,2018-04-28,20:00,Troyes,Caen,1.1,0.6,3–1,14019.0,Hakim Ben El Hadj Salem,2017-2018,380
35.0,Sat,2018-04-28,20:00,Monaco,Amiens,0.8,0.7,0–0,8164.0,Mikael Lesage,2017-2018,381
35.0,Sat,2018-04-28,20:00,Bordeaux,Dijon,1.9,1.4,3–1,22584.0,Johan Hamel,2017-2018,382
35.0,Sat,2018-04-28,20:00,Strasbourg,Nice,1.0,1.3,1–1,25386.0,Amaury Delerue,2017-2018,383
35.0,Sat,2018-04-28,20:00,Lille,Metz,2.1,0.8,3–1,38429.0,François Letexier,2017-2018,384
35.0,Sun,2018-04-29,15:00,Rennes,Toulouse,1.7,1.0,2–1,20138.0,Stéphane Jochem,2017-2018,385
35.0,Sun,2018-04-29,17:00,Angers,Marseille,1.1,2.0,1–1,15794.0,Nicolas Rainville,2017-2018,386
35.0,Sun,2018-04-29,21:00,Paris S-G,Guingamp,2.1,2.0,2–2,47759.0,Sébastien Moreira,2017-2018,387
36.0,Fri,2018-05-04,20:45,Amiens,Paris S-G,0.6,2.2,2–2,11676.0,Hakim Ben El Hadj Salem,2017-2018,389
36.0,Sun,2018-05-06,15:00,Saint-Étienne,Bordeaux,2.2,2.4,1–3,33741.0,Sébastien Moreira,2017-2018,390
36.0,Sun,2018-05-06,16:30,Lyon,Troyes,1.5,1.3,3–0,54274.0,Nicolas Rainville,2017-2018,391
36.0,Sun,2018-05-06,17:00,Toulouse,Lille,0.8,2.8,2–3,26251.0,Clément Turpin,2017-2018,392
36.0,Sun,2018-05-06,17:00,Metz,Angers,1.4,1.9,1–2,13295.0,Olivier Thual,2017-2018,393
36.0,Sun,2018-05-06,17:00,Nantes,Montpellier,1.2,0.5,0–2,19895.0,Franck Schneider,2017-2018,394
36.0,Sun,2018-05-06,17:00,Rennes,Strasbourg,2.6,0.8,2–1,23554.0,Benoît Millot,2017-2018,395
