,t1_captain,t2_captain,t1_formation,t2_formation,t1_possession,t2_possession,t1_passing,t2_passing,t1_shots,t2_shots,t1_saves,t2_saves,t1_yellow_cards,t1_red_cards,t2_yellow_cards,t2_red_cards,t1_fouls,t2_fouls,t1_corners,t2_corners,t1_crosses,t2_crosses,t1_touches,t2_touches,t1_tackles,t2_tackles,t1_interceptions,t2_interceptions,t1_aerials_won,t2_aerials_won,t1_clearances,t2_clearances,t1_offsides,t2_offsides,t1_goal_kicks,t2_goal_kicks,t1_throw_ins,t2_throw_ins,t1_long_balls,t2_long_balls
0,Kamil Glik,Jason Denayer,(4-2-3-1),(4-3-3),39%,61%,351 of 418 — 84%,91% — 597 of 656,1 of 7 — 14%,23% — 3 of 13,0 of 3 — 0%,100% — 1 of 1,2.0,1,2.0,0,10,17,2,5,9,12,519,765,25,13,10,8,6,14,17,17,2,1,10,7,12,23,32,59
0,Steve Mandanda,Alaixys Romao,(4-3-3),(4-2-3-1),64%,36%,530 of 643 — 82%,73% — 264 of 364,2 of 10 — 20%,63% — 5 of 8,3 of 5 — 60%,100% — 2 of 2,1.0,0,0.0,0,18,8,5,3,29,6,748,500,16,23,11,16,16,12,10,33,0,3,2,10,36,18,64,69
0,Dante,Prince-Désir Gouano,(4-3-3),(4-4-1-1),68%,32%,576 of 654 — 88%,75% — 234 of 312,5 of 17 — 29%,25% — 2 of 8,1 of 2 — 50%,60% — 3 of 5,2.0,0,5.5,0,10,8,7,3,16,14,744,391,11,8,9,11,9,18,6,16,0,4,4,11,12,17,64,57
0,Vitorino Hilton,Damien Da Silva,(3-4-1-2),(5-3-2),56%,44%,391 of 499 — 78%,80% — 319 of 397,4 of 23 — 17%,33% — 3 of 9,2 of 3 — 66%,100% — 4 of 4,3.0,0,3.0,1,20,19,7,1,34,3,594,514,15,17,7,11,30,21,7,43,0,0,5,11,21,14,91,60
0,Ludovic Butelle,Benoît Costil,(4-1-4-1),(4-2-3-1),48%,52%,356 of 466 — 76%,82% — 407 of 499,4 of 14 — 29%,38% — 3 of 8,2 of 3 — 66%,25% — 1 of 4,2.0,0,1.0,0,11,15,4,3,16,6,551,587,25,12,8,10,20,18,6,11,2,1,6,15,25,16,80,48
0,Júlio Tavares,Loïc Perrin,(4-2-3-1),(4-2-3-1),53%,47%,411 of 518 — 79%,79% — 361 of 457,5 of 14 — 36%,33% — 4 of 12,2 of 4 — 50%,100% — 5 of 5,0.0,0,2.0,0,17,10,12,5,28,13,617,568,16,18,13,10,22,15,15,30,0,1,7,10,27,17,86,63
0,Mathias Autret,Max Gradel,(4-4-2),(4-2-3-1),38%,62%,267 of 379 — 70%,81% — 495 of 608,4 of 15 — 27%,17% — 2 of 12,1 of 2 — 50%,75% — 3 of 4,0.0,0,0.0,0,11,14,4,7,16,28,505,724,25,15,12,8,12,20,28,16,0,0,5,10,29,23,71,71
0,José Fonte,Valentin Rongier,(4-2-3-1),(4-3-3),54%,46%,387 of 469 — 83%,77% — 302 of 394,3 of 13 — 23%,23% — 3 of 13,3 of 3 — 100%,33% — 1 of 3,2.0,0,4.0,0,13,17,5,11,16,22,580,498,13,20,10,8,9,20,23,19,3,2,8,8,24,19,73,56
0,Stefan Mitrović,Renaud Cohade,(3-5-1-1),(4-3-3),59%,41%,560 of 665 — 84%,77% — 349 of 454,2 of 13 — 15%,43% — 3 of 7,2 of 3 — 66%,50% — 1 of 2,0.0,0,1.0,0,6,12,3,4,20,14,760,557,13,22,9,8,19,12,13,18,2,2,4,10,26,19,75,72
0,Thiago Silva,Anthony Briançon,(4-3-3),(4-5-1),74%,26%,738 of 806 — 92%,74% — 210 of 282,4 of 11 — 36%,0% — 0 of 5,0 of 0 — %,50% — 2 of 4,2.0,0,0.0,0,17,8,2,6,10,17,902,373,17,14,6,5,8,13,10,19,0,0,4,9,22,16,45,50
0,Jason Denayer,Ludovic Butelle,(4-3-3),(4-1-4-1),66%,34%,711 of 786 — 90%,78% — 310 of 398,9 of 11 — 82%,30% — 3 of 10,3 of 3 — 100%,33% — 3 of 9,1.0,0,2.0,0,7,14,2,5,7,13,892,479,19,12,11,16,8,6,12,10,0,2,6,4,14,22,52,59
0,Valentin Rongier,Steve Mandanda,(4-2-3-1),(4-3-3),53%,47%,386 of 502 — 77%,78% — 340 of 437,6 of 13 — 46%,25% — 2 of 8,2 of 2 — 100%,100% — 6 of 6,0.0,0,3.0,0,16,18,7,3,26,17,595,551,20,11,6,6,19,23,14,34,2,2,10,6,18,27,88,74
0,Renaud Cohade,Kamil Glik,(4-3-3),(4-2-3-1),48%,52%,401 of 501 — 80%,84% — 448 of 535,8 of 17 — 47%,50% — 6 of 12,6 of 6 — 100%,75% — 6 of 8,1.0,0,2.0,1,15,7,6,4,16,11,609,642,26,16,13,9,12,10,17,17,2,1,5,8,16,26,80,54
0,Prince-Désir Gouano,José Fonte,(4-2-3-1),(4-2-3-1),49%,51%,356 of 460 — 77%,72% — 341 of 476,3 of 8 — 38%,0% — 0 of 9,0 of 0 — %,66% — 2 of 3,1.0,0,1.0,1,13,7,3,10,15,30,594,582,21,15,11,13,19,17,48,13,1,4,6,7,22,31,55,77
0,Max Gradel,Júlio Tavares,(4-2-3-1),(4-1-4-1),53%,47%,430 of 528 — 81%,80% — 373 of 466,6 of 18 — 33%,28% — 5 of 18,5 of 5 — 100%,83% — 5 of 6,2.0,0,0.0,0,11,5,7,5,30,15,652,586,17,20,8,12,15,18,22,24,3,0,15,13,21,22,66,68
0,Anthony Briançon,Dante,(4-5-1),(4-3-3),55%,45%,394 of 496 — 79%,77% — 316 of 408,4 of 17 — 24%,40% — 2 of 5,1 of 2 — 50%,100% — 4 of 4,6.5,1,6.5,0,21,12,2,1,29,4,581,509,9,13,7,10,22,10,5,30,3,0,6,10,34,17,91,66
0,Benoît Costil,Vitorino Hilton,(3-4-3),(3-5-2),64%,36%,506 of 604 — 84%,66% — 225 of 340,4 of 13 — 31%,40% — 4 of 10,3 of 4 — 75%,75% — 3 of 4,2.0,0,1.0,0,15,21,3,5,13,20,726,443,10,29,13,12,23,13,24,17,1,5,2,9,22,21,53,72
0,Loïc Perrin,Mathias Autret,(4-2-3-1),(4-4-2),55%,45%,405 of 508 — 80%,75% — 314 of 419,5 of 19 — 26%,33% — 3 of 9,2 of 3 — 66%,80% — 4 of 5,1.0,0,2.0,0,16,8,4,2,19,7,615,514,24,20,12,15,24,9,7,14,3,2,4,10,24,27,59,76
0,Alaixys Romao,Stefan Mitrović,(4-2-3-1),(3-5-1-1),59%,41%,512 of 607 — 84%,78% — 335 of 428,1 of 11 — 9%,40% — 2 of 5,2 of 2 — 100%,100% — 1 of 1,2.0,0,0.0,0,18,19,2,4,16,18,696,518,17,10,11,10,15,16,15,21,0,1,5,10,34,18,82,73
0,Damien Da Silva,Thiago Silva,(5-3-2),(4-3-3),38%,62%,340 of 408 — 83%,86% — 560 of 652,3 of 10 — 30%,22% — 2 of 9,1 of 2 — 50%,33% — 1 of 3,1.0,0,5.0,0,15,19,4,7,8,28,513,731,14,16,7,5,5,12,33,7,3,2,11,3,12,25,50,39
0,Mathias Autret,Alaixys Romao,(4-4-2),(4-2-3-1),54%,46%,428 of 534 — 80%,75% — 343 of 457,4 of 8 — 50%,20% — 2 of 10,2 of 2 — 100%,75% — 3 of 4,1.0,0,1.0,0,18,14,6,5,13,23,621,558,8,13,10,14,22,18,25,13,1,2,11,3,23,19,79,74
0,Ismaël Traoré,Renaud Cohade,(4-2-3-1),(4-3-3),38%,62%,303 of 401 — 76%,86% — 550 of 643,5 of 15 — 33%,50% — 2 of 4,2 of 2 — 100%,40% — 2 of 5,1.0,0,2.0,0,15,8,2,1,14,12,504,747,16,18,13,11,14,11,15,23,0,0,8,9,31,20,67,55
0,Bruno Ecuele Manga,Laurent Koscielny,(4-1-4-1),(3-4-3),48%,52%,422 of 514 — 82%,80% — 452 of 566,1 of 10 — 10%,30% — 3 of 10,1 of 3 — 33%,100% — 1 of 1,0.0,0,2.0,0,12,18,3,7,17,20,634,672,24,26,12,9,14,13,25,14,1,1,5,8,28,27,64,78
0,Prince-Désir Gouano,Valentin Rongier,(4-2-3-1),(4-2-3-1),37%,63%,323 of 417 — 77%,86% — 612 of 709,1 of 3 — 33%,24% — 6 of 25,4 of 6 — 66%,0% — 0 of 1,1.0,1,1.0,0,9,13,2,5,5,22,525,816,16,18,17,14,23,9,23,6,1,0,15,2,14,25,60,77
