,t1_captain,t2_captain,t1_formation,t2_formation,t1_possession,t2_possession,t1_passing,t2_passing,t1_shots,t2_shots,t1_saves,t2_saves,t1_yellow_cards,t1_red_cards,t2_yellow_cards,t2_red_cards,t1_fouls,t2_fouls,t1_corners,t2_corners,t1_crosses,t2_crosses,t1_touches,t2_touches,t1_tackles,t2_tackles,t1_interceptions,t2_interceptions,t1_aerials_won,t2_aerials_won,t1_clearances,t2_clearances,t1_offsides,t2_offsides,t1_goal_kicks,t2_goal_kicks,t1_throw_ins,t2_throw_ins,t1_long_balls,t2_long_balls
0,Danny Latza,Niklas Stark,(4-1-2-1-2),(3-4-1-2),52%,48%,366 of 455 — 80%,82% — 337 of 412,5 of 12 — 42%,50% — 8 of 16,7 of 8 — 87%,60% — 3 of 5,2.0,0,2.0,0,16,11,6,3,19,15,563,536,19,18,8,12,11,10,18,21,0,0,10,7,22,20,62,75
0,Willi Orban,Manuel Neuer,(3-4-3),(4-2-3-1),32%,68%,297 of 396 — 75%,86% — 715 of 827,4 of 11 — 36%,50% — 7 of 14,6 of 7 — 85%,100% — 4 of 4,4.0,0,2.0,0,12,4,3,6,9,21,522,943,23,14,18,11,7,14,25,11,1,2,10,5,17,38,53,90
0,Kevin Vogt,Mike Frantz,(3-4-1-2),(3-4-1-2),68%,32%,529 of 630 — 84%,68% — 205 of 300,5 of 24 — 21%,44% — 8 of 18,5 of 8 — 62%,100% — 5 of 5,0.0,0,2.0,0,11,6,12,4,26,12,732,424,7,14,5,8,26,10,14,23,0,2,6,15,23,16,69,71
0,Christian Strohdiek,Alexander Nübel,(4-2-2-2),(4-4-2),46%,54%,306 of 410 — 75%,79% — 376 of 477,1 of 11 — 9%,65% — 11 of 17,6 of 11 — 54%,0% — 0 of 1,2.0,0,1.0,0,17,12,3,5,11,16,532,605,21,24,11,6,10,14,18,17,0,3,8,5,24,24,64,55
0,Alexander Nübel,Danny Latza,(4-2-3-1),(4-3-1-2),52%,48%,375 of 510 — 74%,74% — 347 of 472,6 of 18 — 33%,21% — 3 of 14,2 of 3 — 66%,66% — 4 of 6,1.0,0,1.0,0,7,15,5,5,16,17,645,609,23,19,15,19,31,11,18,20,2,0,11,12,26,23,67,83
0,Mike Frantz,Alfreð Finnbogason,(3-4-1-2),(4-4-2),62%,38%,398 of 529 — 75%,67% — 217 of 325,5 of 17 — 29%,15% — 2 of 13,1 of 2 — 50%,80% — 4 of 5,1.0,0,1.0,0,13,13,7,4,28,11,641,456,10,18,5,15,15,13,17,27,1,2,12,11,29,16,104,76
0,Lars Bender,Christopher Trimmel,(4-2-3-1),(4-4-2),67%,33%,709 of 805 — 88%,74% — 296 of 398,7 of 20 — 35%,0% — 0 of 4,0 of 0 — %,71% — 5 of 7,0.0,0,1.0,1,10,11,8,1,16,8,906,519,12,16,8,16,8,15,5,25,2,1,2,8,23,18,76,62
0,Niklas Stark,Christian Strohdiek,(4-2-3-1),(4-4-2),39%,61%,244 of 358 — 68%,79% — 449 of 565,4 of 6 — 67%,44% — 8 of 18,7 of 8 — 87%,50% — 2 of 4,4.0,0,4.0,0,13,14,1,8,8,16,487,686,25,23,19,5,28,19,22,8,3,2,10,5,22,30,86,82
0,Manuel Neuer,Jonas Hector,(4-2-3-1),(4-2-3-1),60%,40%,497 of 589 — 84%,76% — 300 of 396,4 of 24 — 17%,14% — 2 of 14,2 of 2 — 100%,25% — 1 of 4,4.0,0,0.0,1,15,20,12,4,16,17,709,512,9,11,11,12,9,6,20,19,2,1,8,12,9,17,68,62
0,Davy Klaassen,Willi Orban,(3-5-2),(3-1-4-2),47%,53%,433 of 526 — 82%,83% — 483 of 582,0 of 8 — 0%,50% — 7 of 14,4 of 7 — 57%,% — 0 of 0,0.0,0,4.5,0,12,15,4,7,17,23,643,689,17,24,10,7,11,15,27,24,3,1,10,8,23,12,50,63
