Wk,Day,Date,Time,Home,Away,xG,xG.1,Score,Attendance,Referee,season,t1_captain,t2_captain,t1_formation,t2_formation,t1_possession,t2_possession,t1_passing,t2_passing,t1_shots,t2_shots,t1_saves,t2_saves,t1_yellow_cards,t1_red_cards,t2_yellow_cards,t2_red_cards,t1_fouls,t2_fouls,t1_corners,t2_corners,t1_crosses,t2_crosses,t1_touches,t2_touches,t1_tackles,t2_tackles,t1_interceptions,t2_interceptions,t1_aerials_won,t2_aerials_won,t1_clearances,t2_clearances,t1_offsides,t2_offsides,t1_goal_kicks,t2_goal_kicks,t1_throw_ins,t2_throw_ins,t1_long_balls,t2_long_balls
1,Sat,9/19/2020,18:00,Fiorentina,Torino,1.9,0.7,1–0,,Rosario Abisso,2020-2021,Franck Ribéry,Andrea Belotti,(3-5-2),(4-3-1-2),50%,50%,396 of 481 — 82%,82% — 390 of 476,5 of 15 — 33%,50% — 3 of 6,3 of 3 — 100%,80% — 4 of 5,3,0,1,0,17,20,4,1,21,7,585,588,13,24,15,11,11,9,8,28,6,1,3,7,24,16,76,71
1,Sat,9/19/2020,20:45,Hellas Verona,Roma,,,3–0,,Daniele Chiffi,2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sun,9/20/2020,12:30,Parma,Napoli,0.3,1.6,0–2,1000,Maurizio Mariani,2020-2021,Bruno Alves,Lorenzo Insigne,(4-1-2-1-2),(4-3-3),39%,61%,365 of 442 — 83%,88% — 600 of 685,2 of 6 — 33%,35% — 6 of 17,4 of 6 — 66%,100% — 2 of 2,4,0,1,0,16,12,4,2,15,12,549,783,17,19,17,7,12,14,15,15,2,1,12,5,17,22,64,41
1,Sun,9/20/2020,15:00,Genoa,Crotone,2.3,1.6,4–1,,Giovanni Ayroldi,2020-2021,Davide Biraschi,Alex Cordaz,(3-5-2),(3-4-1-2),49%,51%,431 of 512 — 84%,84% — 449 of 533,6 of 14 — 43%,23% — 3 of 13,2 of 3 — 66%,33% — 2 of 6,4,0,2,0,13,14,6,4,12,16,619,623,19,15,19,6,6,11,14,5,7,0,7,6,17,12,74,38
1,Sun,9/20/2020,18:00,Sassuolo,Cagliari,2.1,0.9,1–1,850,Livio Marinelli,2020-2021,Domenico Berardi,João Pedro,(4-2-3-1),(4-1-4-1),67%,33%,624 of 699 — 89%,80% — 276 of 343,9 of 33 — 27%,50% — 4 of 8,3 of 4 — 75%,88% — 8 of 9,1,0,3,0,9,18,7,3,19,7,807,466,19,17,7,11,9,11,10,20,2,2,5,16,15,14,46,52
1,Sun,9/20/2020,20:45,Juventus,Sampdoria,2,0.8,3–0,1000,Marco Piccinini,2020-2021,Giorgio Chiellini,Albin Ekdal,(3-4-1-2),(4-1-4-1),66%,34%,677 of 763 — 89%,75% — 298 of 397,8 of 20 — 40%,7% — 1 of 15,1 of 1 — 100%,62% — 5 of 8,1,0,1,0,15,9,6,4,17,18,882,493,17,11,16,12,11,10,21,17,3,2,8,8,11,16,68,53
1,Mon,9/21/2020,20:45,Milan,Bologna,2.6,1.1,2–0,1000,Federico La Penna,2020-2021,Gianluigi Donnarumma,Rodrigo Palacio,(4-2-3-1),(4-2-3-1),58%,42%,458 of 555 — 83%,82% — 326 of 399,4 of 16 — 25%,31% — 4 of 13,4 of 4 — 100%,75% — 3 of 4,3,0,6.5,0,13,20,7,4,23,15,645,518,14,19,9,11,18,9,17,25,5,1,2,10,16,14,67,63
2,Sat,9/26/2020,15:00,Torino,Atalanta,0.6,2.1,2–4,1000,Massimiliano Irrati,2020-2021,Andrea Belotti,Papu Gómez,(4-3-1-2),(3-4-1-2),45%,55%,376 of 483 — 78%,83% — 490 of 591,4 of 7 — 57%,39% — 7 of 18,3 of 7 — 42%,50% — 2 of 4,1,0,2,0,11,12,2,6,12,29,598,704,15,12,8,12,12,21,24,9,2,2,10,4,21,18,67,90
2,Sat,9/26/2020,18:00,Cagliari,Lazio,1.2,2.3,0–2,1000,Davide Massa,2020-2021,João Pedro,Ciro Immobile,(4-3-3),(3-5-2),45%,55%,371 of 460 — 81%,83% — 466 of 564,2 of 9 — 22%,38% — 6 of 16,4 of 6 — 66%,100% — 2 of 2,1,0,1,0,8,13,3,6,14,17,575,668,20,13,11,12,10,11,17,11,2,2,5,10,25,26,52,86
2,Sat,9/26/2020,18:00,Sampdoria,Benevento,1,1.1,2–3,1000,Federico Dionisi,2020-2021,Fabio Quagliarella,Luca Caldirola,(4-4-2),(4-3-3),40%,60%,249 of 371 — 67%,80% — 441 of 548,3 of 9 — 33%,36% — 5 of 14,2 of 5 — 40%,33% — 1 of 3,3,0,1,0,17,12,6,4,24,18,457,649,9,10,16,8,16,16,18,20,4,1,10,6,13,27,63,75
