Wk,Day,Date,Time,Home,Away,xG,xG.1,Score,Attendance,Referee,season,t1_captain,t2_captain,t1_formation,t2_formation,t1_possession,t2_possession,t1_passing,t2_passing,t1_shots,t2_shots,t1_saves,t2_saves,t1_yellow_cards,t1_red_cards,t2_yellow_cards,t2_red_cards,t1_fouls,t2_fouls,t1_corners,t2_corners,t1_crosses,t2_crosses,t1_touches,t2_touches,t1_tackles,t2_tackles,t1_interceptions,t2_interceptions,t1_aerials_won,t2_aerials_won,t1_clearances,t2_clearances,t1_offsides,t2_offsides,t1_goal_kicks,t2_goal_kicks,t1_throw_ins,t2_throw_ins,t1_long_balls,t2_long_balls
1.0,Fri,2019-08-09,20:45,Monaco,Lyon,0.6,0.8,0–3,10000.0,Ruddy Buquet,2019-2020,Kamil Glik,Jason Denayer,(4-2-3-1),(4-3-3),39%,61%,351 of 418 — 84%,91% — 597 of 656,1 of 7 — 14%,23% — 3 of 13,0 of 3 — 0%,100% — 1 of 1,2.0,1.0,2.0,0.0,10,17,2,5,9,12,519,765,25,13,10,8,6,14,17,17,2,1,10,7,12,23,32,59
1.0,Sat,2019-08-10,17:30,Marseille,Reims,0.9,1.2,0–2,52887.0,Jérôme Brisard,2019-2020,Steve Mandanda,Alaixys Romao,(4-3-3),(4-2-3-1),64%,36%,530 of 643 — 82%,73% — 264 of 364,2 of 10 — 20%,63% — 5 of 8,3 of 5 — 60%,100% — 2 of 2,1.0,0.0,0.0,0.0,18,8,5,3,29,6,748,500,16,23,11,16,16,12,10,33,0,3,2,10,36,18,64,69
1.0,Sat,2019-08-10,20:00,Nice,Amiens,1.8,0.8,2–1,17719.0,Jérémie Pignard,2019-2020,Dante,Prince-Désir Gouano,(4-3-3),(4-4-1-1),68%,32%,576 of 654 — 88%,75% — 234 of 312,5 of 17 — 29%,25% — 2 of 8,1 of 2 — 50%,60% — 3 of 5,2.0,0.0,5.5,0.0,10,8,7,3,16,14,744,391,11,8,9,11,9,18,6,16,0,4,4,11,12,17,64,57
1.0,Sat,2019-08-10,20:00,Montpellier,Rennes,2.9,1.2,0–1,15212.0,Willy Delajod,2019-2020,Vitorino Hilton,Damien Da Silva,(3-4-1-2),(5-3-2),56%,44%,391 of 499 — 78%,80% — 319 of 397,4 of 23 — 17%,33% — 3 of 9,2 of 3 — 66%,100% — 4 of 4,3.0,0.0,3.0,1.0,20,19,7,1,34,3,594,514,15,17,7,11,30,21,7,43,0,0,5,11,21,14,91,60
1.0,Sat,2019-08-10,20:00,Angers,Bordeaux,1.6,1.0,3–1,10749.0,Hakim Ben El Hadj Salem,2019-2020,Ludovic Butelle,Benoît Costil,(4-1-4-1),(4-2-3-1),48%,52%,356 of 466 — 76%,82% — 407 of 499,4 of 14 — 29%,38% — 3 of 8,2 of 3 — 66%,25% — 1 of 4,2.0,0.0,1.0,0.0,11,15,4,3,16,6,551,587,25,12,8,10,20,18,6,11,2,1,6,15,25,16,80,48
1.0,Sat,2019-08-10,20:00,Dijon,Saint-Étienne,2.1,1.0,1–2,14334.0,Thomas Léonard,2019-2020,Júlio Tavares,Loïc Perrin,(4-2-3-1),(4-2-3-1),53%,47%,411 of 518 — 79%,79% — 361 of 457,5 of 14 — 36%,33% — 4 of 12,2 of 4 — 50%,100% — 5 of 5,0.0,0.0,2.0,0.0,17,10,12,5,28,13,617,568,16,18,13,10,22,15,15,30,0,1,7,10,27,17,86,63
1.0,Sat,2019-08-10,20:00,Brest,Toulouse,2.2,1.5,1–1,14238.0,Olivier Thual,2019-2020,Mathias Autret,Max Gradel,(4-4-2),(4-2-3-1),38%,62%,267 of 379 — 70%,81% — 495 of 608,4 of 15 — 27%,17% — 2 of 12,1 of 2 — 50%,75% — 3 of 4,0.0,0.0,0.0,0.0,11,14,4,7,16,28,505,724,25,15,12,8,12,20,28,16,0,0,5,10,29,23,71,71
1.0,Sun,2019-08-11,15:00,Lille,Nantes,1.3,0.6,2–1,34494.0,Mikael Lesage,2019-2020,José Fonte,Valentin Rongier,(4-2-3-1),(4-3-3),54%,46%,387 of 469 — 83%,77% — 302 of 394,3 of 13 — 23%,23% — 3 of 13,3 of 3 — 100%,33% — 1 of 3,2.0,0.0,4.0,0.0,13,17,5,11,16,22,580,498,13,20,10,8,9,20,23,19,3,2,8,8,24,19,73,56
1.0,Sun,2019-08-11,17:00,Strasbourg,Metz,1.7,0.3,1–1,25476.0,Antony Gautier,2019-2020,Stefan Mitrović,Renaud Cohade,(3-5-1-1),(4-3-3),59%,41%,560 of 665 — 84%,77% — 349 of 454,2 of 13 — 15%,43% — 3 of 7,2 of 3 — 66%,50% — 1 of 2,0.0,0.0,1.0,0.0,6,12,3,4,20,14,760,557,13,22,9,8,19,12,13,18,2,2,4,10,26,19,75,72
1.0,Sun,2019-08-11,21:00,Paris S-G,Nîmes,3.5,0.3,3–0,47151.0,Clément Turpin,2019-2020,Thiago Silva,Anthony Briançon,(4-3-3),(4-5-1),74%,26%,738 of 806 — 92%,74% — 210 of 282,4 of 11 — 36%,0% — 0 of 5,0 of 0 — %,50% — 2 of 4,2.0,0.0,0.0,0.0,17,8,2,6,10,17,902,373,17,14,6,5,8,13,10,19,0,0,4,9,22,16,45,50
