,t1_captain,t2_captain,t1_formation,t2_formation,t1_possession,t2_possession,t1_passing,t2_passing,t1_shots,t2_shots,t1_saves,t2_saves,t1_yellow_cards,t1_red_cards,t2_yellow_cards,t2_red_cards,t1_fouls,t2_fouls,t1_corners,t2_corners,t1_crosses,t2_crosses,t1_touches,t2_touches,t1_tackles,t2_tackles,t1_interceptions,t2_interceptions,t1_aerials_won,t2_aerials_won,t1_clearances,t2_clearances,t1_offsides,t2_offsides,t1_goal_kicks,t2_goal_kicks,t1_throw_ins,t2_throw_ins,t1_long_balls,t2_long_balls
0,Josh Cullen,Kevin De Bruyne,(5-4-1),(4-2-3-1),35%,65%,313 of 395 — 79%,89% — 655 of 740,1 of 6 — 17%,47% — 8 of 17,5 of 8 — 62%,100% — 1 of 1,0.0,1,0.0,0,11,8,6,5,7,15,496,835,12,17,7,4,13,13,16,7,0,1,5,7,15,13,65,77
0,Martin Ødegaard,Joe Worrall,(4-3-3),(3-4-3),78%,22%,716 of 807 — 89%,68% — 154 of 228,7 of 15 — 47%,33% — 2 of 6,1 of 2 — 50%,71% — 5 of 7,2.0,0,2.0,0,12,12,8,3,14,6,902,336,19,17,7,8,12,20,9,18,2,1,8,5,18,9,38,54
0,James Tarkowski,Tom Cairney,(4-4-1-1),(4-3-3),42%,58%,316 of 426 — 74%,83% — 498 of 600,9 of 19 — 47%,22% — 2 of 9,1 of 2 — 50%,100% — 9 of 9,0.0,0,2.0,0,12,6,10,4,26,11,531,691,13,10,13,4,9,14,16,31,6,3,9,7,27,22,76,53
0,Lewis Dunk,Tom Lockyer,(4-2-3-1),(3-5-2),70%,30%,579 of 651 — 89%,68% — 189 of 276,11 of 26 — 42%,25% — 2 of 8,2 of 2 — 100%,72% — 8 of 11,2.0,0,2.0,0,11,12,6,7,23,22,769,395,13,17,4,9,12,21,14,28,2,3,8,11,16,11,42,73
0,John Egan,Joel Ward,(3-4-3),(4-2-3-1),32%,68%,181 of 297 — 61%,82% — 503 of 617,1 of 8 — 13%,33% — 8 of 24,7 of 8 — 87%,100% — 1 of 1,3.0,0,0.0,0,18,11,5,5,14,17,441,745,22,21,11,4,13,31,36,16,2,2,10,6,18,31,81,72
0,Neto,Kurt Zouma,(4-2-3-1),(4-2-3-1),62%,38%,450 of 566 — 80%,68% — 233 of 345,5 of 14 — 36%,13% — 2 of 16,1 of 2 — 50%,80% — 4 of 5,1.0,0,4.0,0,9,14,10,4,23,14,693,489,17,30,7,6,16,29,13,32,0,2,8,11,21,22,79,65
0,Kieran Trippier,John McGinn,(4-3-3),(4-2-3-1),52%,48%,452 of 536 — 84%,84% — 412 of 491,12 of 17 — 71%,38% — 6 of 16,5 of 6 — 83%,58% — 7 of 12,4.0,0,4.0,0,12,17,6,5,11,16,646,588,16,13,7,6,5,6,15,14,2,0,8,5,15,23,49,37
0,Christian Nørgaard,Son Heung-min,(5-3-2),(4-2-3-1),31%,69%,256 of 344 — 74%,87% — 658 of 754,5 of 10 — 50%,33% — 6 of 18,4 of 6 — 66%,80% — 4 of 5,1.0,0,4.0,0,12,13,3,6,13,23,464,864,17,16,8,10,15,11,35,18,1,0,7,5,20,16,66,43
0,Reece James,Virgil van Dijk,(3-4-3),(4-3-3),65%,35%,645 of 755 — 85%,77% — 316 of 411,4 of 10 — 40%,8% — 1 of 13,0 of 1 — 0%,75% — 3 of 4,3.0,0,3.0,0,5,13,4,4,26,12,862,542,13,19,7,10,11,6,18,39,3,5,6,10,23,11,65,58
0,Bruno Fernandes,Max Kilman,(4-1-4-1),(4-4-2),51%,49%,402 of 502 — 80%,79% — 386 of 487,2 of 15 — 13%,26% — 6 of 23,6 of 6 — 100%,50% — 1 of 2,2.0,0,3.0,0,15,10,8,7,17,23,643,634,18,23,8,18,7,17,21,20,1,3,8,9,14,16,51,53
0,Joe Worrall,John Egan,(3-4-3),(3-4-3),50%,50%,371 of 494 — 75%,73% — 356 of 487,4 of 16 — 25%,43% — 3 of 7,2 of 3 — 66%,50% — 2 of 4,2.0,0,3.0,0,5,9,6,7,21,20,624,613,20,22,14,17,30,20,25,16,3,2,6,9,30,23,70,77
0,Max Kilman,Lewis Dunk,(4-4-1-1),(4-2-3-1),47%,53%,419 of 509 — 82%,86% — 501 of 585,5 of 16 — 31%,50% — 8 of 16,4 of 8 — 50%,80% — 4 of 5,6.5,0,6.0,0,14,11,5,3,16,9,604,710,20,25,6,10,5,5,7,21,4,7,5,9,16,14,53,46
0,Tim Ream,Christian Nørgaard,(4-3-3),(4-3-3),55%,45%,419 of 513 — 82%,81% — 344 of 427,2 of 10 — 20%,44% — 7 of 16,5 of 7 — 71%,100% — 2 of 2,5.5,0,2.0,0,13,12,5,5,16,15,598,527,10,13,3,9,12,12,23,24,1,4,7,5,18,13,60,61
0,Virgil van Dijk,Neto,(4-3-3),(4-2-3-1),64%,36%,540 of 640 — 84%,71% — 259 of 363,9 of 25 — 36%,38% — 5 of 13,4 of 5 — 80%,66% — 6 of 9,1.0,1,3.0,0,11,13,10,2,16,10,766,500,15,18,11,14,19,11,15,27,0,3,10,10,18,21,67,49
0,Son Heung-min,Bruno Fernandes,(4-2-3-1),(4-2-3-1),55%,45%,460 of 549 — 84%,81% — 360 of 443,6 of 17 — 35%,27% — 6 of 22,6 of 6 — 100%,83% — 5 of 6,1.0,0,3.0,0,9,8,5,6,16,14,675,584,15,22,5,8,3,10,20,18,1,4,9,7,18,18,38,49
0,Kyle Walker,Kieran Trippier,(4-2-3-1),(4-3-3),59%,41%,632 of 714 — 89%,86% — 432 of 505,4 of 14 — 29%,14% — 1 of 7,1 of 1 — 100%,75% — 3 of 4,1.0,0,5.0,0,13,11,3,0,7,5,788,582,11,10,4,7,3,6,10,11,1,4,4,8,19,12,63,58
0,John McGinn,James Tarkowski,(4-2-3-1),(4-1-4-1),60%,40%,527 of 599 — 88%,78% — 311 of 399,6 of 12 — 50%,22% — 2 of 9,2 of 2 — 100%,50% — 3 of 6,3.0,0,4.0,0,8,12,7,6,12,18,698,479,9,14,3,6,9,8,18,10,1,1,8,6,15,15,48,67
0,Kurt Zouma,Ben Chilwell,(4-2-3-1),(3-4-3),25%,75%,178 of 261 — 68%,86% — 661 of 773,5 of 11 — 45%,19% — 3 of 16,2 of 3 — 66%,60% — 3 of 5,5.5,0,3.0,0,12,9,3,9,9,34,391,872,14,16,18,3,11,19,27,13,3,2,10,5,15,16,50,29
0,Joel Ward,Martin Ødegaard,(4-2-3-1),(4-3-3),47%,53%,392 of 471 — 83%,83% — 436 of 527,2 of 14 — 14%,15% — 2 of 13,2 of 2 — 100%,100% — 2 of 2,2.0,0,4.5,0,14,10,1,8,21,21,574,627,14,14,5,8,14,13,19,18,0,2,6,7,17,10,53,63
