Wk,Day,Date,Time,Home,Away,xG,xG.1,Score,Attendance,Referee,season,t1_captain,t2_captain,t1_formation,t2_formation,t1_possession,t2_possession,t1_passing,t2_passing,t1_shots,t2_shots,t1_saves,t2_saves,t1_yellow_cards,t1_red_cards,t2_yellow_cards,t2_red_cards,t1_fouls,t2_fouls,t1_corners,t2_corners,t1_crosses,t2_crosses,t1_touches,t2_touches,t1_tackles,t2_tackles,t1_interceptions,t2_interceptions,t1_aerials_won,t2_aerials_won,t1_clearances,t2_clearances,t1_offsides,t2_offsides,t1_goal_kicks,t2_goal_kicks,t1_throw_ins,t2_throw_ins,t1_long_balls,t2_long_balls
1.0,Fri,2023-08-11,19:30,Almería,Rayo Vallecano,1.4,2.1,0–2,14837.0,Javier Alberola,2023-2024,Lucas Robertone,Óscar Trejo,(4-2-3-1),(4-2-3-1),60%,40%,448 of 532 — 84%,76% — 268 of 354,5 of 19 — 26%,25% — 2 of 8,2 of 2 — 100%,100% — 5 of 5,1.0,0,3.0,0,16,25,8,3,26,8,650,458,17,19,4,10,11,18,14,29,1,1,2,9,19,14,63,75
1.0,Fri,2023-08-11,22:00,Sevilla,Valencia,0.7,1.1,1–2,34184.0,José Sánchez,2023-2024,Jesús Navas,José Luis Gayà,(4-2-3-1),(4-4-2),55%,45%,339 of 474 — 72%,71% — 275 of 385,3 of 9 — 33%,30% — 3 of 10,1 of 3 — 33%,66% — 2 of 3,3.0,1,2.0,0,15,17,8,1,34,11,585,516,23,24,9,10,17,19,7,36,3,0,7,8,36,28,90,67
1.0,Sat,2023-08-12,17:00,Real Sociedad,Girona,1.0,0.8,1–1,30848.0,Francisco Hernández,2023-2024,Mikel Oyarzabal,Cristhian Stuani,(4-3-3),(4-1-4-1),48%,52%,331 of 415 — 80%,81% — 369 of 458,2 of 15 — 13%,17% — 1 of 6,0 of 1 — 0%,50% — 1 of 2,2.0,0,5.0,0,22,9,4,1,10,14,512,548,17,15,7,4,19,18,12,14,0,3,4,16,22,23,52,67
1.0,Sat,2023-08-12,18:30,Las Palmas,Mallorca,0.9,1.6,1–1,24100.0,Víctor García,2023-2024,Jonathan Viera,Dani Rodríguez,(4-5-1),(5-3-2),68%,32%,542 of 636 — 85%,67% — 202 of 302,1 of 4 — 25%,20% — 2 of 10,1 of 2 — 50%,100% — 1 of 1,3.0,0,2.0,0,11,22,3,6,5,17,738,393,14,25,9,15,14,15,19,7,1,6,8,1,24,22,49,68
1.0,Sat,2023-08-12,21:30,Athletic Club,Real Madrid,0.4,0.9,0–2,48927.0,Jesús Gil,2023-2024,Iker Muniain,Dani Carvajal,(4-2-3-1),(4-1-2-1-2),46%,54%,453 of 552 — 82%,87% — 556 of 639,1 of 7 — 14%,57% — 8 of 14,6 of 8 — 75%,100% — 1 of 1,3.0,0,1.0,0,18,6,7,5,30,9,658,770,16,25,7,10,5,9,13,24,2,2,7,12,23,15,65,66
1.0,Sun,2023-08-13,17:00,Celta Vigo,Osasuna,1.0,1.0,0–2,20269.0,Pablo González,2023-2024,Iago Aspas,David García,(4-4-2),(4-3-3),53%,47%,414 of 531 — 78%,74% — 344 of 468,0 of 11 — 0%,45% — 5 of 11,3 of 5 — 60%,% — 0 of 0,1.0,0,1.0,0,11,15,7,2,22,15,622,568,8,18,11,14,15,15,12,20,6,1,10,13,30,19,65,104
1.0,Sun,2023-08-13,19:30,Villarreal,Betis,0.9,1.1,1–2,17825.0,Miguel Ángel Ortiz Arias,2023-2024,Gerard Moreno,Germán Pezzella,(4-3-3),(4-2-3-1),63%,37%,511 of 604 — 85%,78% — 273 of 350,5 of 18 — 28%,42% — 5 of 12,3 of 5 — 60%,80% — 4 of 5,1.0,0,3.0,0,13,17,9,4,19,14,721,485,23,25,12,16,22,6,8,19,2,1,4,6,21,14,50,49
1.0,Sun,2023-08-13,21:30,Getafe,Barcelona,0.6,1.4,0–0,13410.0,César Soto,2023-2024,Djené,Marc-André ter Stegen,(4-5-1),(4-2-3-1),26%,74%,186 of 271 — 69%,89% — 680 of 767,2 of 5 — 40%,21% — 3 of 14,3 of 3 — 100%,100% — 2 of 2,9.5,0,2.0,2,20,11,3,4,17,17,373,856,11,9,15,3,15,23,27,18,4,2,14,8,14,17,71,43
1.0,Mon,2023-08-14,19:30,Cádiz,Alavés,0.7,0.3,1–0,19306.0,Isidro Díaz de Mera,2023-2024,Fali,Rubén Duarte,(4-4-2),(5-4-1),45%,55%,226 of 337 — 67%,72% — 302 of 417,3 of 12 — 25%,20% — 2 of 10,2 of 2 — 100%,66% — 2 of 3,3.0,1,2.0,0,19,15,2,4,12,24,430,495,13,9,5,11,19,26,26,14,2,2,6,7,22,22,78,76
1.0,Mon,2023-08-14,21:30,Atlético Madrid,Granada,2.4,0.9,3–1,56164.0,Juan Pulido,2023-2024,Koke,Carlos Neva,(3-5-2),(5-3-2),46%,54%,386 of 479 — 81%,82% — 458 of 561,6 of 14 — 43%,57% — 4 of 7,3 of 4 — 75%,50% — 3 of 6,3.0,0,1.0,0,15,9,3,3,18,12,590,657,15,20,16,4,15,9,15,15,3,0,3,12,27,18,63,77
