Wk,Day,Date,Time,Home,Away,xG,xG.1,Score,Attendance,Referee,season
7.0,Sat,2020-10-24,16:00,Barcelona,Real Madrid,1.8,3.0,1–3,,Juan Martínez,2020-2021
7.0,Sat,2020-10-24,18:30,Osasuna,Athletic Club,1.2,0.7,1–0,,Guillermo Cuadra,2020-2021
7.0,Sat,2020-10-24,18:30,Sevilla,Eibar,1.7,0.2,0–1,,Alejandro Hernández,2020-2021
7.0,Sat,2020-10-24,21:00,Atlético Madrid,Betis,1.4,1.1,2–0,,Antonio Matéu Lahoz,2020-2021
7.0,Sun,2020-10-25,14:00,Valladolid,Alavés,0.3,2.5,0–2,,José Luis Munuera,2020-2021
7.0,Sun,2020-10-25,16:00,Cádiz,Villarreal,0.2,0.8,0–0,,Ricardo de Burgos,2020-2021
7.0,Sun,2020-10-25,18:30,Getafe,Granada,0.9,1.1,0–1,,Jesús Gil,2020-2021
7.0,Sun,2020-10-25,21:00,Real Sociedad,Huesca,2.5,0.5,4–1,,Isidro Díaz de Mera,2020-2021
7.0,Mon,2020-10-26,21:00,Levante,Celta Vigo,1.2,0.8,1–1,,Mario Melero,2020-2021
8.0,Fri,2020-10-30,21:00,Eibar,Cádiz,0.5,1.0,0–2,,Antonio Matéu Lahoz,2020-2021
8.0,Sat,2020-10-31,14:00,Real Madrid,Huesca,2.3,1.0,4–1,,Pablo González,2020-2021
8.0,Sat,2020-10-31,16:15,Athletic Club,Sevilla,1.2,1.1,2–1,,Carlos del Cerro,2020-2021
8.0,Sat,2020-10-31,18:30,Osasuna,Atlético Madrid,1.1,2.8,1–3,,Daniel Ask,2020-2021
8.0,Sat,2020-10-31,21:00,Alavés,Barcelona,1.2,1.9,1–1,,Alejandro Hernández,2020-2021
8.0,Sun,2020-11-01,14:00,Betis,Elche,3.2,0.7,3–1,,David Medié,2020-2021
8.0,Sun,2020-11-01,16:00,Celta Vigo,Real Sociedad,1.6,2.0,1–4,,Adrián Cordero,2020-2021
8.0,Sun,2020-11-01,18:30,Granada,Levante,0.2,0.9,1–1,,Santiago Jaime,2020-2021
8.0,Sun,2020-11-01,21:00,Valencia,Getafe,1.4,2.4,2–2,,Jorge Figueroa,2020-2021
8.0,Mon,2020-11-02,21:00,Villarreal,Valladolid,1.8,0.7,2–0,,Hsu Jason,2020-2021
9.0,Fri,2020-11-06,21:00,Elche,Celta Vigo,1.5,2.1,1–1,,Ricardo de Burgos,2020-2021
9.0,Sat,2020-11-07,14:00,Huesca,Eibar,2.2,0.9,1–1,,Mario Melero,2020-2021
9.0,Sat,2020-11-07,16:15,Barcelona,Betis,3.4,1.1,5–2,,Guillermo Cuadra,2020-2021
9.0,Sat,2020-11-07,18:30,Sevilla,Osasuna,1.1,0.7,1–0,,Juan Martínez,2020-2021
9.0,Sat,2020-11-07,21:00,Atlético Madrid,Cádiz,2.1,0.4,4–0,,Adrián Cordero,2020-2021
9.0,Sun,2020-11-08,14:00,Getafe,Villarreal,0.7,2.3,1–3,,José Luis Munuera,2020-2021
9.0,Sun,2020-11-08,16:15,Real Sociedad,Granada,3.4,0.8,2–0,,Carlos del Cerro,2020-2021
9.0,Sun,2020-11-08,18:30,Levante,Alavés,2.1,0.8,1–1,,Isidro Díaz de Mera,2020-2021
9.0,Sun,2020-11-08,18:30,Valladolid,Athletic Club,2.1,1.7,2–1,,César Soto,2020-2021
9.0,Sun,2020-11-08,21:00,Valencia,Real Madrid,2.5,1.3,4–1,,Jesús Gil,2020-2021
10.0,Fri,2020-11-20,21:00,Osasuna,Huesca,1.0,0.7,1–1,,Valentín Pizarro,2020-2021
10.0,Sat,2020-11-21,14:00,Levante,Elche,0.7,0.6,1–1,,Jorge Figueroa,2020-2021
10.0,Sat,2020-11-21,16:15,Villarreal,Real Madrid,1.7,0.6,1–1,,Alejandro Hernández,2020-2021
10.0,Sat,2020-11-21,18:30,Sevilla,Celta Vigo,2.6,2.1,4–2,,César Soto,2020-2021
10.0,Sat,2020-11-21,21:00,Atlético Madrid,Barcelona,0.5,0.9,1–0,,José Luis Munuera,2020-2021
10.0,Sun,2020-11-22,14:00,Eibar,Getafe,1.3,0.4,0–0,,Pablo González,2020-2021
10.0,Sun,2020-11-22,16:15,Cádiz,Real Sociedad,0.1,1.2,0–1,,Daniel Ask,2020-2021
10.0,Sun,2020-11-22,18:30,Granada,Valladolid,1.5,1.3,1–3,,David Medié,2020-2021
10.0,Sun,2020-11-22,21:00,Alavés,Valencia,1.7,1.9,2–2,,Santiago Jaime,2020-2021
10.0,Mon,2020-11-23,21:00,Athletic Club,Betis,2.5,0.4,4–0,,Hsu Jason,2020-2021
11.0,Fri,2020-11-27,21:00,Valladolid,Levante,1.6,1.1,1–1,,Valentín Pizarro,2020-2021
11.0,Sat,2020-11-28,14:00,Elche,Cádiz,0.1,0.5,1–1,,Carlos del Cerro,2020-2021
11.0,Sat,2020-11-28,16:15,Valencia,Atlético Madrid,0.2,0.9,0–1,,Ricardo de Burgos,2020-2021
11.0,Sat,2020-11-28,18:30,Huesca,Sevilla,0.2,1.8,0–1,,Guillermo Cuadra,2020-2021
11.0,Sat,2020-11-28,21:00,Real Madrid,Alavés,1.7,2.2,1–2,,Adrián Cordero,2020-2021
11.0,Sun,2020-11-29,14:00,Barcelona,Osasuna,3.7,1.5,4–0,,Antonio Matéu Lahoz,2020-2021
11.0,Sun,2020-11-29,16:15,Getafe,Athletic Club,0.5,0.3,1–1,,Mario Melero,2020-2021
11.0,Sun,2020-11-29,18:30,Celta Vigo,Granada,4.2,1.6,3–1,,Isidro Díaz de Mera,2020-2021
11.0,Sun,2020-11-29,21:00,Real Sociedad,Villarreal,1.7,1.2,1–1,,Jesús Gil,2020-2021
11.0,Mon,2020-11-30,21:00,Betis,Eibar,0.7,2.9,0–2,,Juan Martínez,2020-2021
12.0,Fri,2020-12-04,21:00,Athletic Club,Celta Vigo,0.5,1.2,0–2,,Jorge Figueroa,2020-2021
12.0,Sat,2020-12-05,14:00,Levante,Getafe,2.2,0.5,3–0,,David Medié,2020-2021
12.0,Sat,2020-12-05,16:15,Sevilla,Real Madrid,0.7,1.5,0–1,,José Sánchez,2020-2021
12.0,Sat,2020-12-05,18:30,Atlético Madrid,Valladolid,1.2,0.7,2–0,,Pablo González,2020-2021
12.0,Sat,2020-12-05,21:00,Cádiz,Barcelona,2.5,1.5,2–1,,César Soto,2020-2021
12.0,Sun,2020-12-06,14:00,Granada,Huesca,1.5,1.5,3–3,,Hsu Jason,2020-2021
12.0,Sun,2020-12-06,16:15,Osasuna,Betis,0.4,1.4,0–2,,Alejandro Hernández,2020-2021
12.0,Sun,2020-12-06,18:30,Villarreal,Elche,0.6,0.1,0–0,,Santiago Jaime,2020-2021
12.0,Sun,2020-12-06,21:00,Alavés,Real Sociedad,0.3,1.4,0–0,,José Luis Munuera,2020-2021
12.0,Mon,2020-12-07,21:00,Eibar,Valencia,1.3,0.5,0–0,,Daniel Ask,2020-2021
13.0,Fri,2020-12-11,21:00,Valladolid,Osasuna,2.0,1.9,3–2,,Adrián Cordero,2020-2021
13.0,Sat,2020-12-12,14:00,Valencia,Athletic Club,1.5,1.9,2–2,,Carlos del Cerro,2020-2021
13.0,Sat,2020-12-12,16:15,Getafe,Sevilla,0.5,0.5,0–1,,Juan Martínez,2020-2021
13.0,Sat,2020-12-12,18:30,Huesca,Alavés,0.4,0.2,1–0,,Mario Melero,2020-2021
13.0,Sat,2020-12-12,21:00,Real Madrid,Atlético Madrid,0.9,0.7,2–0,,Antonio Matéu Lahoz,2020-2021
13.0,Sun,2020-12-13,14:00,Real Sociedad,Eibar,1.2,1.7,1–1,,Isidro Díaz de Mera,2020-2021
13.0,Sun,2020-12-13,16:15,Betis,Villarreal,0.6,1.2,1–1,,Valentín Pizarro,2020-2021
13.0,Sun,2020-12-13,18:30,Elche,Granada,0.6,1.6,0–1,,Pablo González,2020-2021
13.0,Sun,2020-12-13,21:00,Barcelona,Levante,2.1,1.0,1–0,,Ricardo de Burgos,2020-2021
13.0,Mon,2020-12-14,21:00,Celta Vigo,Cádiz,1.5,0.6,4–0,,Guillermo Cuadra,2020-2021
19.0,Tue,2020-12-15,22:00,Real Madrid,Athletic Club,2.2,0.8,3–1,,Jesús Gil,2020-2021
19.0,Wed,2020-12-16,21:00,Barcelona,Real Sociedad,2.5,1.8,2–1,,José Sánchez,2020-2021
14.0,Fri,2020-12-18,21:00,Athletic Club,Huesca,1.4,0.2,2–0,,Valentín Pizarro,2020-2021
14.0,Sat,2020-12-19,14:00,Atlético Madrid,Elche,2.2,0.6,3–1,,Daniel Ask,2020-2021
14.0,Sat,2020-12-19,16:15,Barcelona,Valencia,2.3,1.6,2–2,,Alejandro Hernández,2020-2021
14.0,Sat,2020-12-19,18:30,Levante,Real Sociedad,1.8,1.8,2–1,,César Soto,2020-2021
14.0,Sat,2020-12-19,18:30,Osasuna,Villarreal,1.0,2.3,1–3,,Jorge Figueroa,2020-2021
14.0,Sat,2020-12-19,21:00,Sevilla,Valladolid,1.7,1.0,1–1,,Jesús Gil,2020-2021
14.0,Sun,2020-12-20,14:00,Celta Vigo,Alavés,1.6,0.7,2–0,,Hsu Jason,2020-2021
14.0,Sun,2020-12-20,16:15,Granada,Betis,1.4,0.8,2–0,,José Sánchez,2020-2021
14.0,Sun,2020-12-20,18:30,Cádiz,Getafe,0.4,1.0,0–2,,Santiago Jaime,2020-2021
14.0,Sun,2020-12-20,21:00,Eibar,Real Madrid,0.7,2.2,1–3,,José Luis Munuera,2020-2021
15.0,Tue,2020-12-22,17:30,Elche,Osasuna,1.2,1.6,2–2,,Ricardo de Burgos,2020-2021
15.0,Tue,2020-12-22,17:30,Valencia,Sevilla,0.6,1.8,0–1,,Valentín Pizarro,2020-2021
15.0,Tue,2020-12-22,19:45,Huesca,Levante,1.4,0.7,1–1,,Isidro Díaz de Mera,2020-2021
15.0,Tue,2020-12-22,19:45,Real Sociedad,Atlético Madrid,0.3,0.5,0–2,,Guillermo Cuadra,2020-2021
15.0,Tue,2020-12-22,22:00,Villarreal,Athletic Club,1.4,0.8,1–1,,David Medié,2020-2021
15.0,Tue,2020-12-22,22:00,Valladolid,Barcelona,0.8,3.0,0–3,,Mario Melero,2020-2021
15.0,Wed,2020-12-23,17:30,Getafe,Celta Vigo,0.3,0.8,1–1,,Pablo González,2020-2021
15.0,Wed,2020-12-23,19:45,Real Madrid,Granada,1.8,0.8,2–0,,Juan Martínez,2020-2021
15.0,Wed,2020-12-23,22:00,Alavés,Eibar,1.9,1.0,2–1,,Carlos del Cerro,2020-2021
15.0,Wed,2020-12-23,22:00,Betis,Cádiz,0.4,0.3,1–0,,Antonio Matéu Lahoz,2020-2021
16.0,Tue,2020-12-29,17:00,Sevilla,Villarreal,2.2,0.6,2–0,,César Soto,2020-2021
16.0,Tue,2020-12-29,19:15,Barcelona,Eibar,2.2,0.6,1–1,,Hsu Jason,2020-2021
16.0,Tue,2020-12-29,21:30,Cádiz,Valladolid,0.7,0.5,0–0,,Alejandro Hernández,2020-2021
16.0,Tue,2020-12-29,21:30,Levante,Betis,1.7,2.8,4–3,,Daniel Ask,2020-2021
16.0,Wed,2020-12-30,17:00,Granada,Valencia,2.2,1.5,2–1,,Adrián Cordero,2020-2021
16.0,Wed,2020-12-30,19:15,Atlético Madrid,Getafe,1.1,0.8,1–0,,Antonio Matéu Lahoz,2020-2021
16.0,Wed,2020-12-30,19:15,Celta Vigo,Huesca,2.3,1.3,2–1,,José Luis Munuera,2020-2021
16.0,Wed,2020-12-30,21:30,Elche,Real Madrid,1.0,1.4,1–1,,Jorge Figueroa,2020-2021
16.0,Thu,2020-12-31,14:00,Athletic Club,Real Sociedad,0.2,1.6,0–1,,José Sánchez,2020-2021
16.0,Thu,2020-12-31,16:15,Osasuna,Alavés,0.4,1.6,1–1,,Santiago Jaime,2020-2021
17.0,Sat,2021-01-02,14:00,Villarreal,Levante,1.6,0.5,2–1,,Pablo González,2020-2021
17.0,Sat,2021-01-02,16:15,Betis,Sevilla,2.1,0.2,1–1,,Carlos del Cerro,2020-2021
17.0,Sat,2021-01-02,18:30,Getafe,Valladolid,0.8,1.2,0–1,,Isidro Díaz de Mera,2020-2021
17.0,Sat,2021-01-02,21:00,Real Madrid,Celta Vigo,1.0,0.7,2–0,,Ricardo de Burgos,2020-2021
17.0,Sun,2021-01-03,14:00,Athletic Club,Elche,1.4,0.2,1–0,,Mario Melero,2020-2021
17.0,Sun,2021-01-03,16:15,Alavés,Atlético Madrid,0.3,2.2,1–2,,Juan Martínez,2020-2021
17.0,Sun,2021-01-03,18:30,Eibar,Granada,1.9,0.9,2–0,,Antonio Matéu Lahoz,2020-2021
