Wk,Day,Date,Time,Home,Away,xG,xG.1,Score,Attendance,Referee,season,t1_captain,t2_captain,t1_formation,t2_formation,t1_possession,t2_possession,t1_passing,t2_passing,t1_shots,t2_shots,t1_saves,t2_saves,t1_yellow_cards,t1_red_cards,t2_yellow_cards,t2_red_cards,t1_fouls,t2_fouls,t1_corners,t2_corners,t1_crosses,t2_crosses,t1_touches,t2_touches,t1_tackles,t2_tackles,t1_interceptions,t2_interceptions,t1_aerials_won,t2_aerials_won,t1_clearances,t2_clearances,t1_offsides,t2_offsides,t1_goal_kicks,t2_goal_kicks,t1_throw_ins,t2_throw_ins,t1_long_balls,t2_long_balls
34.0,Sat,2023-05-06,21:00,Lens,Marseille,0.7,1.3,2–1,38220.0,Clément Turpin,2022-2023,Seko Fofana,Valentin Rongier,(3-4-3),(3-4-3),43%,57%,243 of 342 — 71%,77% — 353 of 459,3 of 9 — 33%,21% — 3 of 14,2 of 3 — 66%,33% — 1 of 3,5.0,0.0,2.0,0.0,12,16,7,7,15,28,477,563,16,22,13,11,14,12,30,19,1,2,6,4,24,28,68,58
34.0,Sun,2023-05-07,13:00,Angers,Monaco,1.0,2.1,1–2,9223.0,Jeremy Stinat,2022-2023,Nabil Bentaleb,Axel Disasi,(5-3-2),(3-4-3),60%,40%,514 of 599 — 86%,78% — 308 of 394,3 of 10 — 30%,43% — 6 of 14,4 of 6 — 66%,66% — 2 of 3,3.0,0.0,2.0,0.0,13,17,4,3,20,11,718,501,19,23,5,13,11,15,19,12,0,1,6,8,16,20,63,47
34.0,Sun,2023-05-07,15:00,Lorient,Brest,1.0,1.5,2–1,16338.0,Benoît Millot,2022-2023,Laurent Abergel,Brendan Chardonnet,(3-4-3),(4-1-4-1),46%,54%,322 of 407 — 79%,78% — 372 of 479,3 of 6 — 50%,7% — 1 of 14,1 of 1 — 100%,33% — 1 of 3,4.5,0.0,2.0,0.0,13,22,4,6,7,27,544,590,25,27,5,8,20,21,37,10,2,0,11,4,15,24,59,91
34.0,Sun,2023-05-07,15:00,Ajaccio,Toulouse,0.3,1.7,0–0,6735.0,Florent Batta,2022-2023,Mathieu Coutadeur,Brecht Dejaegere,(4-5-1),(4-2-3-1),39%,61%,288 of 384 — 75%,84% — 498 of 596,2 of 4 — 50%,33% — 5 of 15,5 of 5 — 100%,100% — 2 of 2,3.0,0.0,0.0,0.0,10,8,4,7,18,27,500,693,25,14,7,7,10,17,28,16,1,1,10,4,21,21,67,67
34.0,Sun,2023-05-07,15:00,Nantes,Strasbourg,0.8,2.2,0–2,28563.0,Benoît Bastien,2022-2023,Alban Lafont,Alexander Djiku,(3-4-1-2),(3-4-3),54%,46%,340 of 483 — 70%,74% — 304 of 409,5 of 13 — 38%,57% — 4 of 7,3 of 4 — 75%,100% — 5 of 5,3.0,0.0,1.0,0.0,22,15,11,1,40,8,590,564,17,17,9,15,34,32,14,35,1,0,2,11,23,23,78,75
34.0,Sun,2023-05-07,15:00,Auxerre,Clermont Foot,1.2,1.5,1–1,16330.0,Marc Bollengier,2022-2023,Birama Touré,Florent Ogier,(3-4-3),(3-4-3),47%,53%,348 of 446 — 78%,80% — 408 of 507,4 of 12 — 33%,44% — 4 of 9,3 of 4 — 75%,75% — 3 of 4,1.0,0.0,0.0,0.0,19,13,2,2,14,12,547,613,12,21,14,11,12,10,11,12,2,2,6,6,22,15,75,73
34.0,Sun,2023-05-07,17:05,Lyon,Montpellier,2.9,1.8,5–4,49531.0,Bastien Dechepy,2022-2023,Alexandre Lacazette,Jordan Ferri,(4-2-3-1),(4-2-3-1),69%,31%,562 of 650 — 86%,74% — 213 of 288,7 of 15 — 47%,45% — 5 of 11,2 of 5 — 40%,42% — 3 of 7,0.0,0.0,3.0,0.0,12,14,3,5,17,13,754,415,19,20,9,6,9,4,15,21,2,3,1,7,22,16,53,55
34.0,Sun,2023-05-07,20:45,Troyes,Paris S-G,0.7,4.1,1–3,18890.0,Ruddy Buquet,2022-2023,Adil Rami,Marquinhos,(3-4-3),(3-5-2),40%,60%,438 of 499 — 88%,92% — 696 of 759,2 of 7 — 29%,39% — 12 of 31,9 of 12 — 75%,50% — 1 of 2,1.0,0.0,0.0,0.0,5,5,6,6,15,16,595,853,10,14,9,10,4,6,15,15,1,2,14,1,10,11,41,28
35.0,Fri,2023-05-12,21:00,Lens,Reims,1.5,1.7,2–1,37701.0,Jérémie Pignard,2022-2023,Seko Fofana,Yunis Abdelhamid,(3-4-3),(4-1-2-1-2),40%,60%,279 of 357 — 78%,86% — 462 of 539,5 of 7 — 71%,13% — 2 of 16,2 of 2 — 100%,80% — 4 of 5,1.0,1.0,3.0,0.0,6,19,0,14,12,31,460,626,13,8,7,5,8,5,34,7,1,0,11,4,11,13,62,57
35.0,Sat,2023-05-13,17:00,Strasbourg,Nice,2.0,0.5,2–0,25147.0,Jeremy Stinat,2022-2023,Matz Sels,Dante,(3-4-3),(4-3-3),40%,60%,319 of 405 — 79%,84% — 517 of 618,2 of 11 — 18%,44% — 4 of 9,4 of 4 — 100%,50% — 1 of 2,1.0,0.0,1.0,0.0,14,9,2,3,13,15,517,731,22,25,11,7,13,11,11,18,0,1,9,4,25,19,64,67
35.0,Sat,2023-05-13,21:00,Paris S-G,Ajaccio,2.3,0.4,5–0,47926.0,Pierre Gaillouste,2022-2023,Marquinhos,Mathieu Coutadeur,(3-4-3),(4-3-3),73%,27%,696 of 779 — 89%,78% — 227 of 291,9 of 16 — 56%,29% — 2 of 7,2 of 2 — 100%,55% — 5 of 9,1.0,1.0,1.0,1.0,7,6,8,3,18,7,862,413,10,24,7,12,7,8,5,28,1,0,6,5,16,7,56,45
35.0,Sun,2023-05-14,13:00,Clermont Foot,Lyon,1.8,1.7,2–1,13191.0,Ruddy Buquet,2022-2023,Florent Ogier,Alexandre Lacazette,(3-4-3),(3-4-1-2),38%,62%,295 of 395 — 75%,84% — 550 of 653,5 of 8 — 63%,21% — 3 of 14,2 of 3 — 66%,80% — 4 of 5,3.0,0.0,3.0,0.0,17,10,5,2,13,10,511,777,12,18,23,18,6,10,23,12,2,3,11,3,13,16,55,38
35.0,Sun,2023-05-14,15:00,Toulouse,Nantes,1.3,1.0,0–0,27033.0,Jérôme Brisard,2022-2023,Maxime Dupé,Samuel Moutoussamy,(4-2-3-1),(3-4-1-2),71%,29%,662 of 775 — 85%,69% — 220 of 318,6 of 14 — 43%,13% — 1 of 8,1 of 1 — 100%,100% — 6 of 6,1.0,0.0,1.0,0.0,6,13,10,5,41,9,872,442,16,17,6,12,19,15,9,44,3,2,4,10,24,12,56,71
35.0,Sun,2023-05-14,15:00,Montpellier,Lorient,1.6,0.6,1–1,12595.0,Mathieu Vernice,2022-2023,Jordan Ferri,Laurent Abergel,(4-3-3),(3-4-3),43%,57%,332 of 426 — 78%,86% — 492 of 569,3 of 15 — 20%,27% — 3 of 11,2 of 3 — 66%,66% — 2 of 3,2.0,0.0,3.0,0.0,20,15,11,5,34,11,528,688,21,16,11,15,12,11,15,27,0,2,8,9,13,17,58,53
