Wk,Day,Date,Time,Home,Away,xG,xG.1,Score,Attendance,Referee,season,t1_captain,t2_captain,t1_formation,t2_formation,t1_possession,t2_possession,t1_passing,t2_passing,t1_shots,t2_shots,t1_saves,t2_saves,t1_yellow_cards,t1_red_cards,t2_yellow_cards,t2_red_cards,t1_fouls,t2_fouls,t1_corners,t2_corners,t1_crosses,t2_crosses,t1_touches,t2_touches,t1_tackles,t2_tackles,t1_interceptions,t2_interceptions,t1_aerials_won,t2_aerials_won,t1_clearances,t2_clearances,t1_offsides,t2_offsides,t1_goal_kicks,t2_goal_kicks,t1_throw_ins,t2_throw_ins,t1_long_balls,t2_long_balls
1.0,Fri,2021-08-06,21:00,Monaco,Nantes,1.5,0.2,1–1,7500.0,Antony Gautier,2021-2022,Axel Disasi,Alban Lafont,(4-4-2),(4-1-4-1),74%,26%,689 of 794 — 87%,63% — 174 of 275,2 of 15 — 13%,20% — 1 of 5,0 of 1 — 0%,50% — 1 of 2,0.0,0.0,0.0,0.0,6,14,5,2,20,7,895,393,20,19,11,14,15,14,6,27,1,0,5,15,34,23,62,67
1.0,Sat,2021-08-07,17:00,Lyon,Brest,1.4,0.8,1–1,29018.0,Mikael Lesage,2021-2022,Leo Dubois,Brendan Chardonnet,(4-3-3),(4-2-3-1),68%,32%,639 of 735 — 87%,74% — 257 of 345,4 of 17 — 24%,54% — 7 of 13,6 of 7 — 85%,75% — 3 of 4,1.0,0.0,1.0,0.0,10,12,9,4,23,14,841,462,16,16,7,15,16,18,11,26,1,1,5,10,25,26,55,72
1.0,Sat,2021-08-07,21:00,Troyes,Paris S-G,0.9,1.2,1–2,15248.0,Amaury Delerue,2021-2022,Jimmy Giraudon,Presnel Kimpembe,(5-4-1),(4-4-2),44%,56%,405 of 496 — 82%,91% — 581 of 636,7 of 15 — 47%,17% — 2 of 12,0 of 2 — 0%,85% — 6 of 7,1.0,0.0,4.0,0.0,3,15,9,1,26,12,586,757,17,10,8,14,2,10,14,19,1,1,8,6,23,11,72,42
1.0,Sun,2021-08-08,13:00,Rennes,Lens,0.7,2.1,1–1,22567.0,Bastien Dechepy,2021-2022,Hamari Traoré,Seko Fofana,(4-3-3),(3-4-1-2),59%,41%,495 of 565 — 88%,81% — 317 of 389,2 of 10 — 20%,55% — 6 of 11,5 of 6 — 83%,50% — 1 of 2,0.0,0.0,2.0,0.0,10,14,3,9,13,22,657,483,15,18,7,5,9,11,18,15,0,0,7,7,17,20,76,74
1.0,Sun,2021-08-08,15:00,Saint-Étienne,Lorient,1.9,0.6,1–1,20461.0,Thomas Léonard,2021-2022,Mahdi Camara,Fabien Lemoine,(4-4-1-1),(5-3-2),61%,39%,505 of 603 — 84%,74% — 284 of 384,2 of 19 — 11%,25% — 3 of 12,2 of 3 — 66%,100% — 2 of 2,2.0,0.0,3.0,0.0,10,14,8,4,29,14,742,523,23,23,12,10,17,13,13,26,0,1,7,12,22,15,76,71
1.0,Sun,2021-08-08,15:00,Nice,Reims,0.8,0.2,0–0,18030.0,Johan Hamel,2021-2022,Dante,Yunis Abdelhamid,(4-4-2),(5-3-2),61%,39%,501 of 590 — 85%,76% — 289 of 380,2 of 12 — 17%,0% — 0 of 5,0 of 0 — %,100% — 2 of 2,1.0,0.0,1.0,0.0,10,8,4,2,14,8,685,479,21,18,11,11,14,12,7,19,0,0,4,10,18,20,60,65
1.0,Sun,2021-08-08,15:00,Strasbourg,Angers,0.3,0.9,0–2,23250.0,Jeremy Stinat,2021-2022,Dimitri Liénard,Ismaël Traoré,(4-4-2),(3-4-1-2),57%,43%,449 of 575 — 78%,76% — 326 of 427,1 of 7 — 14%,22% — 2 of 9,0 of 2 — 0%,100% — 1 of 1,2.0,0.0,3.0,0.0,18,18,5,4,24,9,690,554,27,18,8,11,16,13,10,28,3,2,5,9,32,20,95,77
1.0,Sun,2021-08-08,15:00,Bordeaux,Clermont Foot,0.7,3.1,0–2,18748.0,Florent Batta,2021-2022,Laurent Koscielny,Florent Ogier,(4-2-3-1),(4-2-3-1),44%,56%,394 of 478 — 82%,84% — 504 of 601,6 of 10 — 60%,53% — 10 of 19,8 of 10 — 80%,100% — 6 of 6,1.0,0.0,0.0,0.0,13,9,5,10,18,20,601,709,19,18,11,9,10,18,24,13,0,2,6,5,19,23,66,67
1.0,Sun,2021-08-08,17:00,Metz,Lille,0.9,1.3,3–3,15551.0,Eric Wattellier,2021-2022,Dylan Bronn,José Fonte,(3-4-1-2),(4-4-2),39%,61%,270 of 379 — 71%,80% — 480 of 603,5 of 12 — 42%,35% — 6 of 17,4 of 6 — 66%,40% — 2 of 5,1.0,1.0,2.0,0.0,9,10,4,5,18,24,512,709,16,21,19,10,15,16,14,17,0,2,10,3,22,28,69,58
1.0,Sun,2021-08-08,20:45,Montpellier,Marseille,0.6,1.9,2–3,13500.0,Jérémie Pignard,2021-2022,Andy Delort,Steve Mandanda,(4-2-3-1),(3-2-4-1),41%,59%,295 of 398 — 74%,85% — 488 of 576,1 of 8 — 13%,33% — 7 of 21,4 of 7 — 57%,0% — 0 of 1,0.0,0.0,1.0,0.0,10,5,6,11,22,28,510,688,19,11,12,15,12,14,19,15,1,1,11,10,15,15,70,57
