,t1_captain,t2_captain,t1_formation,t2_formation,t1_possession,t2_possession,t1_passing,t2_passing,t1_shots,t2_shots,t1_saves,t2_saves,t1_yellow_cards,t1_red_cards,t2_yellow_cards,t2_red_cards,t1_fouls,t2_fouls,t1_corners,t2_corners,t1_crosses,t2_crosses,t1_touches,t2_touches,t1_tackles,t2_tackles,t1_interceptions,t2_interceptions,t1_aerials_won,t2_aerials_won,t1_clearances,t2_clearances,t1_offsides,t2_offsides,t1_goal_kicks,t2_goal_kicks,t1_throw_ins,t2_throw_ins,t1_long_balls,t2_long_balls
0,Jordan Ferri,Brendan Chardonnet,(4-2-3-1),(4-3-3),33%,67%,190 of 275 — 69%,82% — 457 of 557,6 of 12 — 50%,32% — 6 of 19,5 of 6 — 83%,66% — 4 of 6,5.0,0.0,1.0,0.0,18,13,3,7,8,26,408,654,25,15,10,1,12,23,34,8,3,1,13,1,15,25,66,59
0,Steve Mandanda,Vincent Sierro,(4-2-3-1),(3-4-3),67%,33%,542 of 651 — 83%,70% — 226 of 321,1 of 7 — 14%,11% — 1 of 9,0 of 1 — 0%,100% — 1 of 1,3.0,0.0,1.0,0.0,16,16,5,3,22,7,745,461,21,25,7,17,11,14,8,31,2,1,8,11,27,12,50,66
0,Abdoulaye Touré,Emmanuel Agbadou,(3-4-3),(4-3-3),55%,45%,363 of 457 — 79%,80% — 302 of 376,3 of 10 — 30%,39% — 7 of 18,4 of 7 — 57%,100% — 3 of 3,1.0,0.0,4.0,0.0,10,17,8,7,33,10,562,506,19,17,6,6,13,10,22,39,1,2,6,11,24,16,61,58
0,Alexandre Lacazette,Gautier Larsonneur,(4-3-3),(4-1-4-1),62%,38%,505 of 603 — 84%,76% — 283 of 373,7 of 17 — 41%,60% — 6 of 10,6 of 6 — 100%,85% — 6 of 7,3.0,0.0,2.0,0.0,11,13,7,6,23,19,719,497,13,20,10,15,13,7,23,25,0,0,3,8,30,17,50,62
0,Denis Zakaria,Brendan Chardonnet,(4-2-3-1),(4-3-3),51%,49%,421 of 533 — 79%,74% — 378 of 513,4 of 10 — 40%,33% — 4 of 12,2 of 4 — 50%,25% — 1 of 4,2.0,0.0,2.0,0.0,7,12,2,8,11,28,683,632,15,22,16,13,19,20,32,16,3,1,12,5,15,29,65,75
0,Achraf Hakimi,Vincent Sierro,(4-2-3-1),(3-4-3),72%,28%,708 of 806 — 88%,73% — 230 of 314,8 of 17 — 47%,18% — 2 of 11,2 of 2 — 100%,62% — 5 of 8,1.0,0.0,2.0,0.0,11,14,7,5,21,15,933,447,17,19,11,13,8,3,24,24,2,0,6,5,14,20,42,50
0,Brice Samba,Leonardo Balerdi,(3-4-3),(3-5-2),45%,55%,339 of 435 — 78%,82% — 430 of 524,7 of 16 — 44%,40% — 4 of 10,1 of 4 — 25%,85% — 6 of 7,3.0,0.0,3.0,0.0,17,9,6,0,18,7,569,651,19,18,22,11,6,9,14,24,3,1,3,11,16,21,54,54
0,Gautier Larsonneur,Téji Savanier,(5-4-1),(4-2-3-1),33%,67%,212 of 287 — 74%,85% — 493 of 583,4 of 11 — 36%,27% — 3 of 11,3 of 3 — 100%,75% — 3 of 4,3.0,0.0,5.0,0.0,19,11,5,11,10,23,411,675,16,16,10,12,13,11,45,13,1,0,7,6,15,19,43,67
0,Marshall Munetsi,Alexandre Lacazette,(4-2-3-1),(4-2-3-1),41%,59%,308 of 397 — 78%,87% — 499 of 573,6 of 14 — 43%,54% — 7 of 13,6 of 7 — 85%,83% — 5 of 6,2.0,0.0,0.0,0.0,11,13,4,2,17,7,492,677,14,16,9,5,6,9,13,22,4,1,12,7,17,14,71,54
0,Benjamin André,Steve Mandanda,(4-2-3-1),(3-4-3),52%,48%,412 of 496 — 83%,82% — 372 of 452,2 of 5 — 40%,25% — 1 of 4,1 of 1 — 100%,50% — 1 of 2,3.0,0.0,2.0,0.0,19,16,3,3,11,14,592,553,17,24,8,13,11,10,17,16,2,0,2,4,18,24,58,75
0,Pedro Chirivella,Josué Casimir,(4-2-3-1),(3-4-3),70%,30%,581 of 699 — 83%,71% — 215 of 302,4 of 18 — 22%,43% — 3 of 7,2 of 3 — 66%,100% — 4 of 4,2.0,0.0,1.0,0.0,15,12,10,2,42,13,807,468,22,17,4,6,17,14,21,74,0,2,1,12,24,17,60,61
0,Jubal,Himad Abdelli,(3-4-3),(4-2-3-1),48%,52%,400 of 497 — 80%,81% — 437 of 537,6 of 10 — 60%,50% — 5 of 10,5 of 5 — 100%,83% — 5 of 6,4.0,0.0,1.0,0.0,13,7,2,2,17,13,598,635,22,14,10,12,13,11,11,14,0,1,6,9,15,22,66,68
0,Dante,Andrey Santos,(4-4-2),(4-4-2),54%,46%,453 of 549 — 83%,81% — 381 of 473,5 of 15 — 33%,30% — 3 of 10,2 of 3 — 66%,80% — 4 of 5,2.0,0.0,0.0,0.0,16,8,4,7,20,13,659,614,25,29,9,11,13,5,13,29,0,1,2,6,18,16,67,56
