,t1_captain,t2_captain,t1_formation,t2_formation,t1_possession,t2_possession,t1_passing,t2_passing,t1_shots,t2_shots,t1_saves,t2_saves,t1_yellow_cards,t1_red_cards,t2_yellow_cards,t2_red_cards,t1_fouls,t2_fouls,t1_corners,t2_corners,t1_crosses,t2_crosses,t1_touches,t2_touches,t1_tackles,t2_tackles,t1_interceptions,t2_interceptions,t1_aerials_won,t2_aerials_won,t1_clearances,t2_clearances,t1_offsides,t2_offsides,t1_goal_kicks,t2_goal_kicks,t1_throw_ins,t2_throw_ins,t1_long_balls,t2_long_balls
0,Antonio Candreva,Matteo Pessina,(3-4-3),(3-4-3),38%,62%,304 of 381 — 80%,86% — 525 of 611,5 of 12 — 42%,27% — 4 of 15,4 of 4 — 100%,40% — 2 of 5,2.0,0.0,5.5,0.0,12,16,1,3,9,15,485,695,9,9,9,6,10,7,22,15,1,2,3,6,15,20,58,46
0,Roberto Pereyra,Emmanuel Gyasi,(3-5-2),(4-2-3-1),49%,51%,363 of 451 — 80%,79% — 372 of 469,6 of 15 — 40%,22% — 2 of 9,0 of 2 — 0%,66% — 4 of 6,2.0,0.0,2.0,0.0,11,16,5,2,21,12,569,581,19,18,9,8,10,7,9,26,0,1,6,10,21,19,79,49
0,Theo Hernández,Rafael Tolói,(3-4-3),(3-5-2),48%,52%,421 of 523 — 80%,80% — 455 of 572,3 of 13 — 23%,0% — 0 of 3,0 of 0 — %,66% — 2 of 3,3.0,0.0,1.0,0.0,11,11,4,3,13,11,642,677,23,15,7,8,10,17,18,17,1,1,5,11,17,22,64,49
0,Davide Faraoni,Lucas Martínez Quarta,(3-4-1-2),(4-2-3-1),47%,53%,288 of 424 — 68%,70% — 340 of 484,3 of 12 — 25%,44% — 7 of 16,4 of 7 — 57%,100% — 3 of 3,3.0,0.0,3.0,0.0,15,11,4,2,13,17,547,602,13,14,7,6,24,32,23,14,4,0,4,11,20,24,85,87
0,Ciro Immobile,Emil Audero,(4-3-3),(3-4-1-2),57%,43%,532 of 642 — 83%,78% — 382 of 488,4 of 15 — 27%,25% — 2 of 8,2 of 2 — 100%,75% — 3 of 4,2.0,0.0,2.0,0.0,10,13,8,3,18,14,738,585,13,19,9,6,13,12,12,15,3,1,11,13,16,18,63,62
0,Matteo Bianchetti,Lorenzo Pellegrini,(3-4-3),(3-4-3),34%,66%,211 of 332 — 64%,80% — 514 of 645,1 of 5 — 20%,30% — 3 of 10,2 of 3 — 66%,0% — 0 of 1,3.0,0.0,2.0,0.0,17,11,3,3,12,17,450,754,18,15,14,6,14,26,29,15,0,5,8,4,21,27,82,95
0,Danilo,Ricardo Rodríguez,(3-5-1-1),(3-4-3),42%,58%,348 of 440 — 79%,86% — 512 of 598,6 of 13 — 46%,38% — 3 of 8,1 of 3 — 33%,33% — 2 of 6,0.0,0.0,2.0,0.0,5,13,3,7,17,15,527,702,18,15,1,5,18,13,13,11,0,1,8,8,17,13,53,60
0,Giovanni Di Lorenzo,Ciro Immobile,(4-3-3),(4-3-3),64%,36%,683 of 785 — 87%,77% — 332 of 433,2 of 14 — 14%,20% — 1 of 5,0 of 1 — 0%,100% — 2 of 2,2.0,0.0,2.0,0.0,13,8,8,3,20,8,876,534,7,13,11,8,17,12,5,24,3,0,1,9,24,22,59,57
0,Matteo Pessina,Filippo Bandinelli,(3-4-3),(4-3-1-2),43%,57%,333 of 425 — 78%,83% — 460 of 554,3 of 10 — 30%,17% — 3 of 18,2 of 3 — 66%,33% — 1 of 3,2.0,0.0,3.0,0.0,10,12,1,8,8,26,542,648,20,10,14,8,12,9,26,9,6,2,8,5,20,23,70,59
0,Rafael Tolói,Rodrigo Becão,(3-4-3),(3-5-2),67%,33%,569 of 696 — 82%,68% — 227 of 336,5 of 17 — 29%,20% — 1 of 5,1 of 1 — 100%,100% — 5 of 5,2.0,0.0,3.0,0.0,12,12,12,3,27,11,836,476,19,28,12,15,16,13,10,30,3,2,6,16,34,15,68,56
0,Cristiano Biraghi,Theo Hernández,(4-3-3),(3-4-3),48%,52%,308 of 401 — 77%,80% — 350 of 440,6 of 15 — 40%,75% — 6 of 8,5 of 6 — 83%,83% — 5 of 6,3.0,0.0,3.0,0.0,12,17,11,5,25,14,503,552,14,19,8,4,16,12,18,26,0,1,5,6,20,21,73,68
