,t1_captain,t2_captain,t1_formation,t2_formation,t1_possession,t2_possession,t1_passing,t2_passing,t1_shots,t2_shots,t1_saves,t2_saves,t1_yellow_cards,t1_red_cards,t2_yellow_cards,t2_red_cards,t1_fouls,t2_fouls,t1_corners,t2_corners,t1_crosses,t2_crosses,t1_touches,t2_touches,t1_tackles,t2_tackles,t1_interceptions,t2_interceptions,t1_aerials_won,t2_aerials_won,t1_clearances,t2_clearances,t1_offsides,t2_offsides,t1_goal_kicks,t2_goal_kicks,t1_throw_ins,t2_throw_ins,t1_long_balls,t2_long_balls
0,Neto,Declan Rice,(3-4-3),(4-3-3),64%,36%,605 of 709 — 85%,76% — 299 of 392,5 of 17 — 29%,56% — 10 of 18,6 of 10 — 60%,100% — 5 of 5,1.0,0,2.0,0,7,8,8,5,32,13,813,517,11,17,9,14,15,16,13,31,0,3,4,13,24,13,59,65
0,Kieran Trippier,Hugo Lloris,(4-3-3),(4-3-3),56%,44%,473 of 557 — 85%,79% — 340 of 432,8 of 25 — 32%,27% — 3 of 11,2 of 3 — 66%,25% — 2 of 8,0.0,0,3.0,0,7,13,9,3,20,8,662,540,13,17,6,7,10,4,10,17,2,0,8,5,12,22,61,69
0,Rúben Neves,Luka Milivojević,(4-4-2),(4-3-3),41%,59%,253 of 349 — 72%,79% — 403 of 510,2 of 8 — 25%,29% — 4 of 14,4 of 4 — 100%,100% — 2 of 2,5.0,0,4.0,0,13,14,6,11,13,28,478,612,21,11,8,6,19,15,30,15,2,1,5,5,12,30,73,53
0,John McGinn,Tim Ream,(4-2-3-1),(4-2-3-1),51%,49%,386 of 469 — 82%,78% — 348 of 445,3 of 14 — 21%,0% — 0 of 1,0 of 0 — %,66% — 2 of 3,3.0,0,2.0,0,6,18,8,2,15,17,571,543,11,21,2,6,15,8,23,15,0,5,8,4,15,18,62,54
0,Liam Cooper,Youri Tielemans,(4-2-3-1),(4-2-3-1),41%,59%,227 of 352 — 64%,71% — 358 of 507,3 of 13 — 23%,20% — 3 of 15,2 of 3 — 66%,66% — 2 of 3,4.0,0,2.0,0,14,15,3,6,16,20,497,609,22,21,11,5,16,18,29,15,4,6,5,8,23,29,72,57
0,Serge Aurier,Lewis Dunk,(3-4-3),(4-2-3-1),26%,74%,170 of 260 — 65%,86% — 646 of 755,3 of 10 — 30%,41% — 7 of 17,6 of 7 — 85%,66% — 2 of 3,2.0,0,0.0,0,7,8,2,7,7,13,384,856,18,14,14,7,9,10,20,16,1,2,10,9,17,18,53,45
0,César Azpilicueta,Ivan Toney,(3-4-3),(5-3-2),71%,29%,641 of 749 — 86%,64% — 193 of 300,4 of 15 — 27%,14% — 1 of 7,0 of 1 — 0%,100% — 4 of 4,1.0,0,2.0,0,5,13,5,2,28,7,845,409,12,13,9,9,19,15,19,26,0,2,3,11,21,28,52,72
0,Declan Rice,Jordan Henderson,(4-2-3-1),(4-3-3),28%,72%,232 of 346 — 67%,87% — 768 of 884,2 of 7 — 29%,20% — 4 of 20,2 of 4 — 50%,50% — 1 of 2,0.0,0,0.0,0,6,8,3,6,15,13,452,1000,13,20,18,18,16,28,13,18,1,1,7,9,18,15,74,78
0,İlkay Gündoğan,Martin Ødegaard,(4-3-3),(4-3-3),52%,48%,436 of 516 — 84%,83% — 400 of 481,9 of 14 — 64%,25% — 2 of 8,1 of 2 — 50%,55% — 5 of 9,3.0,0,1.0,0,13,13,1,3,5,8,590,549,11,10,9,5,15,12,8,13,0,1,9,6,13,13,58,50
0,James Ward-Prowse,Neto,(4-4-2),(3-4-3),57%,43%,442 of 557 — 79%,77% — 328 of 427,2 of 11 — 18%,13% — 2 of 16,1 of 2 — 50%,100% — 2 of 2,0.0,0,3.0,0,9,11,6,4,24,15,678,566,19,21,13,6,10,12,20,35,4,2,9,6,25,19,70,67
