Wk,Day,Date,Time,Home,Away,xG,xG.1,Score,Attendance,Referee,season,game_id
1.0,Sat,2018-08-18,18:00,Chievo,Juventus,1.1,3.1,2–3,29500.0,Fabrizio Pasqua,2018-2019,0
1.0,Sat,2018-08-18,20:30,Lazio,Napoli,1.0,1.4,1–2,32000.0,Luca Banti,2018-2019,1
1.0,Sun,2018-08-19,18:00,Torino,Roma,0.6,1.2,0–1,18000.0,Marco Di Bello,2018-2019,2
1.0,Sun,2018-08-19,20:30,Sassuolo,Inter,1.5,1.1,1–0,19104.0,Maurizio Mariani,2018-2019,3
1.0,Sun,2018-08-19,20:30,Empoli,Cagliari,1.3,0.9,2–0,7335.0,Daniele Chiffi,2018-2019,4
1.0,Sun,2018-08-19,20:30,Parma,Udinese,1.5,1.9,2–2,13141.0,Giampaolo Calvarese,2018-2019,5
1.0,Sun,2018-08-19,20:30,Bologna,SPAL,1.0,0.6,0–1,21158.0,Piero Giacomelli,2018-2019,6
1.0,Mon,2018-08-20,20:30,Atalanta,Frosinone,2.2,0.3,4–0,18217.0,Marco Piccinini,2018-2019,7
2.0,Sat,2018-08-25,18:00,Juventus,Lazio,1.6,0.3,2–0,40171.0,Massimiliano Irrati,2018-2019,9
2.0,Sat,2018-08-25,20:30,Napoli,Milan,1.4,0.7,3–2,34474.0,Paolo Valeri,2018-2019,10
2.0,Sun,2018-08-26,18:00,SPAL,Parma,1.4,0.3,1–0,6000.0,Daniele Orsato,2018-2019,11
2.0,Sun,2018-08-26,20:30,Cagliari,Sassuolo,1.3,1.8,2–2,14432.0,Luca Pairetto,2018-2019,12
2.0,Sun,2018-08-26,20:30,Genoa,Empoli,1.1,1.5,2–1,19523.0,Livio Marinelli,2018-2019,13
2.0,Sun,2018-08-26,20:30,Inter,Torino,0.8,1.1,2–2,59135.0,Paolo Mazzoleni,2018-2019,14
2.0,Sun,2018-08-26,20:30,Udinese,Sampdoria,1.8,0.7,1–0,15770.0,Federico La Penna,2018-2019,16
