Wk,Day,Date,Time,Home,Away,xG,xG.1,Score,Attendance,Referee,season,t1_captain,t2_captain,t1_formation,t2_formation,t1_possession,t2_possession,t1_passing,t2_passing,t1_shots,t2_shots,t1_saves,t2_saves,t1_yellow_cards,t1_red_cards,t2_yellow_cards,t2_red_cards,t1_fouls,t2_fouls,t1_corners,t2_corners,t1_crosses,t2_crosses,t1_touches,t2_touches,t1_tackles,t2_tackles,t1_interceptions,t2_interceptions,t1_aerials_won,t2_aerials_won,t1_clearances,t2_clearances,t1_offsides,t2_offsides,t1_goal_kicks,t2_goal_kicks,t1_throw_ins,t2_throw_ins,t1_long_balls,t2_long_balls
1.0,Sat,2022-08-13,18:30,Milan,Udinese,2.3,0.5,4–2,70197.0,Livio Marinelli,2022-2023,Davide Calabria,Roberto Pereyra,(4-2-3-1),(3-5-2),59%,41%,457 of 549 — 83%,80% — 303 of 379,4 of 13 — 31%,44% — 4 of 9,2 of 4 — 50%,25% — 1 of 4,1.0,0.0,4.0,0.0,16,13,5,1,21,11,625,492,23,13,8,11,5,12,5,21,0,1,7,11,21,14,77,53
1.0,Sat,2022-08-13,18:30,Sampdoria,Atalanta,1.0,2.2,0–2,20047.0,Federico Dionisi,2022-2023,Bartosz Bereszyński,Rafael Tolói,(4-1-4-1),(3-4-1-2),55%,45%,394 of 505 — 78%,77% — 313 of 408,1 of 11 — 9%,33% — 3 of 9,1 of 3 — 33%,100% — 1 of 1,4.0,0.0,6.0,0.0,13,21,3,2,19,9,587,513,18,19,11,11,16,8,5,19,1,2,7,10,23,18,68,76
1.0,Sat,2022-08-13,20:45,Lecce,Inter,0.7,2.1,1–2,25353.0,Alessandro Prontera,2022-2023,Morten Hjulmand,Samir Handanović,(4-3-3),(3-5-2),30%,70%,205 of 288 — 71%,83% — 555 of 665,4 of 10 — 40%,47% — 9 of 19,7 of 9 — 77%,75% — 3 of 4,4.0,0.0,2.0,0.0,21,19,6,8,13,32,400,752,9,11,13,8,14,14,39,9,2,3,7,6,11,22,62,72
1.0,Sat,2022-08-13,20:45,Monza,Torino,1.4,2.1,1–2,10739.0,Maurizio Mariani,2022-2023,Andrea Barberis,Ricardo Rodríguez,(3-5-2),(3-4-3),54%,46%,394 of 488 — 81%,78% — 326 of 416,4 of 15 — 27%,46% — 6 of 13,4 of 6 — 66%,75% — 3 of 4,1.0,0.0,2.0,0.0,6,17,2,7,14,16,589,524,13,14,11,5,8,7,14,10,1,5,4,10,16,14,69,52
1.0,Sun,2022-08-14,18:30,Fiorentina,Cremonese,2.0,1.3,3–2,34461.0,Juan Sacchi,2022-2023,Cristiano Biraghi,Matteo Bianchetti,(4-3-3),(3-4-1-2),74%,26%,540 of 626 — 86%,60% — 132 of 219,11 of 28 — 39%,31% — 4 of 13,2 of 4 — 50%,72% — 8 of 11,0.0,0.0,3.0,1.0,10,19,11,4,35,13,731,334,12,24,6,7,27,13,11,25,1,1,3,9,15,10,117,54
1.0,Sun,2022-08-14,18:30,Lazio,Bologna,0.7,1.5,2–1,45000.0,Luca Massimi,2022-2023,Ciro Immobile,Roberto Soriano,(4-3-3),(3-4-1-2),42%,58%,275 of 347 — 79%,85% — 416 of 489,6 of 9 — 67%,20% — 2 of 10,2 of 2 — 100%,83% — 5 of 6,2.0,1.0,7.5,0.0,11,18,3,2,10,10,441,595,15,13,4,8,7,9,10,18,3,2,5,5,21,18,54,61
1.0,Sun,2022-08-14,20:45,Spezia,Empoli,0.5,0.7,1–0,8360.0,Daniele Chiffi,2022-2023,Emmanuel Gyasi,Filippo Bandinelli,(3-5-2),(4-3-1-2),41%,59%,292 of 400 — 73%,77% — 452 of 586,2 of 9 — 22%,28% — 5 of 18,5 of 5 — 100%,50% — 1 of 2,2.0,0.0,1.0,0.0,15,8,6,4,21,28,541,696,23,14,17,10,3,9,32,15,3,1,8,7,18,32,72,80
1.0,Sun,2022-08-14,20:45,Salernitana,Roma,0.6,2.4,0–1,26006.0,Simone Sozza,2022-2023,Federico Fazio,Lorenzo Pellegrini,(3-5-2),(3-4-3),51%,49%,397 of 480 — 83%,82% — 370 of 453,2 of 13 — 15%,20% — 4 of 20,3 of 4 — 75%,100% — 2 of 2,3.0,0.0,2.0,0.0,18,9,4,2,11,9,575,562,16,17,9,9,7,11,12,9,1,3,11,8,13,19,59,59
1.0,Mon,2022-08-15,18:30,Hellas Verona,Napoli,1.1,2.4,2–5,16967.0,Michael Fabbri,2022-2023,Davide Faraoni,Giovanni Di Lorenzo,(3-5-2),(4-3-3),34%,66%,196 of 286 — 69%,84% — 468 of 558,3 of 6 — 50%,32% — 8 of 25,3 of 8 — 37%,33% — 1 of 3,2.0,0.0,2.0,0.0,15,6,4,8,14,20,388,665,19,11,9,12,9,20,20,11,1,2,14,5,11,17,61,55
1.0,Mon,2022-08-15,20:45,Juventus,Sassuolo,2.0,0.9,3–0,38725.0,Antonio Rapuano,2022-2023,Leonardo Bonucci,Gian Marco Ferrari,(4-4-2),(4-3-3),42%,58%,347 of 421 — 82%,88% — 502 of 571,3 of 13 — 23%,37% — 7 of 19,7 of 7 — 100%,33% — 1 of 3,1.0,0.0,3.0,0.0,7,5,3,2,11,14,511,649,10,9,12,7,5,7,18,10,4,2,8,13,14,21,63,63
