Wk,Day,Date,Time,Home,Away,xG,xG.1,Score,Attendance,Referee,season,t1_captain,t2_captain,t1_formation,t2_formation,t1_possession,t2_possession,t1_passing,t2_passing,t1_shots,t2_shots,t1_saves,t2_saves,t1_yellow_cards,t1_red_cards,t2_yellow_cards,t2_red_cards,t1_fouls,t2_fouls,t1_corners,t2_corners,t1_crosses,t2_crosses,t1_touches,t2_touches,t1_tackles,t2_tackles,t1_interceptions,t2_interceptions,t1_aerials_won,t2_aerials_won,t1_clearances,t2_clearances,t1_offsides,t2_offsides,t1_goal_kicks,t2_goal_kicks,t1_throw_ins,t2_throw_ins,t1_long_balls,t2_long_balls
1.0,Sat,2023-08-19,18:30,Empoli,Hellas Verona,0.7,0.5,0–1,7940.0,Luca Massimi,2023-2024,Sebastiano Luperto,Paweł Dawidowicz,(4-2-3-1),(3-4-3),48%,52%,234 of 367 — 64%,69% — 272 of 396,4 of 10 — 40%,40% — 4 of 10,3 of 4 — 75%,100% — 4 of 4,2.0,0.0,2.0,0.0,17,18,2,4,5,14,457,506,12,20,5,11,11,29,13,21,2,3,7,8,37,24,81,95
1.0,Sat,2023-08-19,18:30,Frosinone,Napoli,0.9,1.5,1–3,15822.0,Matteo Marcenaro,2023-2024,Luca Mazzitelli,Giovanni Di Lorenzo,(4-3-3),(4-3-3),48%,52%,413 of 476 — 87%,86% — 436 of 506,0 of 3 — 0%,42% — 8 of 19,5 of 8 — 62%,% — 0 of 0,3.0,0.0,3.0,0.0,14,17,4,6,7,18,575,591,6,20,2,3,4,9,19,9,3,3,7,3,15,11,46,48
1.0,Sat,2023-08-19,20:45,Genoa,Fiorentina,0.2,1.0,1–4,33045.0,Giovanni Ayroldi,2023-2024,Milan Badelj,Cristiano Biraghi,(3-5-2),(4-2-3-1),32%,68%,242 of 332 — 73%,86% — 599 of 694,2 of 4 — 50%,56% — 5 of 9,1 of 5 — 20%,50% — 1 of 2,2.0,0.0,3.0,0.0,14,13,3,4,16,12,420,794,14,11,9,7,10,12,15,16,2,1,5,4,20,22,50,87
1.0,Sat,2023-08-19,20:45,Inter,Monza,2.7,0.8,2–0,72509.0,Andrea Colombo,2023-2024,Lautaro Martínez,Matteo Pessina,(3-5-2),(3-5-2),47%,53%,448 of 509 — 88%,90% — 508 of 567,3 of 22 — 14%,17% — 2 of 12,2 of 2 — 100%,33% — 1 of 3,1.0,0.0,1.0,0.0,8,13,8,3,21,14,604,655,17,13,9,13,9,6,14,12,1,1,8,17,9,15,63,53
1.0,Sun,2023-08-20,18:30,Roma,Salernitana,1.9,0.1,2–2,62050.0,Ermanno Feliciani,2023-2024,Gianluca Mancini,Federico Fazio,(3-1-4-2),(3-4-3),60%,40%,423 of 535 — 79%,73% — 259 of 357,3 of 13 — 23%,67% — 2 of 3,0 of 2 — 0%,33% — 1 of 3,0.0,0.0,4.0,0.0,12,9,9,1,30,3,622,446,15,9,9,10,22,12,6,21,1,1,3,13,28,17,73,60
1.0,Sun,2023-08-20,18:30,Sassuolo,Atalanta,0.4,1.3,0–2,12298.0,Matteo Marchetti,2023-2024,Andrea Consigli,Marten de Roon,(4-2-3-1),(3-5-2),49%,51%,445 of 522 — 85%,83% — 446 of 536,3 of 11 — 27%,25% — 4 of 16,2 of 4 — 50%,100% — 3 of 3,0.0,0.0,0.0,0.0,9,13,7,7,14,29,621,623,10,13,12,9,9,8,20,12,0,2,16,2,12,17,49,68
1.0,Sun,2023-08-20,20:45,Lecce,Lazio,1.4,1.6,2–1,29081.0,Federico Dionisi,2023-2024,Gabriel Strefezza,Ciro Immobile,(4-3-3),(4-3-3),48%,52%,419 of 501 — 84%,84% — 455 of 541,7 of 23 — 30%,40% — 4 of 10,3 of 4 — 75%,71% — 5 of 7,3.0,0.0,2.0,0.0,12,16,5,2,16,8,617,653,8,21,8,10,8,8,13,22,2,1,9,9,19,12,48,42
1.0,Sun,2023-08-20,20:45,Udinese,Juventus,1.0,1.8,0–3,24911.0,Antonio Rapuano,2023-2024,Walace,Danilo,(3-5-2),(3-1-4-2),49%,51%,406 of 479 — 85%,82% — 411 of 503,5 of 18 — 28%,38% — 3 of 8,1 of 3 — 33%,100% — 5 of 5,1.0,0.0,3.0,0.0,12,10,7,3,24,8,577,606,11,21,7,5,7,9,10,21,3,4,6,14,17,9,55,50
1.0,Mon,2023-08-21,18:30,Torino,Cagliari,1.0,0.4,0–0,20296.0,Francesco Cosso,2023-2024,Ricardo Rodríguez,Nahitan Nández,(3-4-3),(3-4-3),57%,43%,381 of 496 — 77%,69% — 260 of 375,2 of 11 — 18%,25% — 2 of 8,2 of 2 — 100%,100% — 2 of 2,1.0,0.0,1.0,0.0,8,12,8,3,20,14,586,469,10,18,8,10,21,20,15,17,1,2,11,10,22,17,85,90
1.0,Mon,2023-08-21,20:45,Bologna,Milan,1.0,0.9,0–2,30203.0,Luca Pairetto,2023-2024,Nicolás Domínguez,Davide Calabria,(4-1-3-2),(4-3-3),53%,47%,503 of 580 — 87%,83% — 430 of 515,5 of 17 — 29%,56% — 5 of 9,3 of 5 — 60%,100% — 5 of 5,2.0,0.0,2.0,0.0,10,4,3,6,16,11,682,607,21,13,4,9,11,5,11,10,2,2,4,11,13,13,53,50
