,t1_captain,t2_captain,t1_formation,t2_formation,t1_possession,t2_possession,t1_passing,t2_passing,t1_shots,t2_shots,t1_saves,t2_saves,t1_yellow_cards,t1_red_cards,t2_yellow_cards,t2_red_cards,t1_fouls,t2_fouls,t1_corners,t2_corners,t1_crosses,t2_crosses,t1_touches,t2_touches,t1_tackles,t2_tackles,t1_interceptions,t2_interceptions,t1_aerials_won,t2_aerials_won,t1_clearances,t2_clearances,t1_offsides,t2_offsides,t1_goal_kicks,t2_goal_kicks,t1_throw_ins,t2_throw_ins,t1_long_balls,t2_long_balls
0,Iker Muniain,Gerard Piqué,(4-2-3-1),(4-3-3),29%,71%,200 of 291 — 69%,84% — 604 of 717,5 of 11 — 45%,18% — 2 of 11,2 of 2 — 100%,80% — 4 of 5,1.0,0,1.0,0,14,9,3,8,13,16,387,786,9,8,11,5,14,12,18,12,2,1,15,10,16,17,61,63
0,Iago Aspas,Sergio Ramos,(4-2-2-2),(4-3-3),56%,44%,486 of 573 — 85%,83% — 369 of 444,3 of 7 — 43%,65% — 11 of 17,8 of 11 — 72%,66% — 2 of 3,5.0,0,2.0,1,17,12,6,4,27,11,651,548,14,13,7,7,5,12,5,20,5,1,9,5,16,19,48,76
0,Rodrigo,Asier Illarramendi,(4-4-2),(4-3-3),37%,63%,320 of 395 — 81%,87% — 579 of 668,6 of 13 — 46%,18% — 2 of 11,2 of 2 — 100%,83% — 5 of 6,5.5,0,4.0,0,13,14,3,3,6,19,504,755,17,14,9,3,11,16,22,11,2,2,9,6,13,22,68,54
0,Manolo Reina,Iván Ramis,(4-1-4-1),(4-4-2),38%,62%,226 of 325 — 70%,79% — 425 of 540,2 of 15 — 13%,45% — 5 of 11,4 of 5 — 80%,50% — 1 of 2,2.0,0,3.0,0,13,14,9,3,16,17,435,620,14,15,8,8,33,33,31,19,3,0,10,11,25,24,80,88
0,Santi Cazorla,Víctor Díaz,(4-2-3-1),(4-2-3-1),54%,46%,404 of 501 — 81%,77% — 328 of 427,6 of 11 — 55%,46% — 6 of 13,4 of 6 — 66%,50% — 3 of 6,3.0,0,1.0,0,10,16,2,7,11,27,595,514,18,10,5,8,16,12,18,5,3,6,11,7,18,12,75,73
0,Unai Bustinza,Oier Sanjurjo,(3-4-1-2),(4-2-3-1),52%,48%,270 of 403 — 67%,69% — 255 of 368,2 of 13 — 15%,50% — 2 of 4,1 of 2 — 50%,100% — 2 of 2,1.0,1,4.0,0,17,11,8,0,23,9,492,479,16,11,6,6,19,30,10,26,5,2,5,10,37,23,102,99
0,Manu García,Sergio Postigo,(4-1-4-1),(4-1-2-1-2),38%,62%,207 of 313 — 66%,78% — 401 of 511,2 of 9 — 22%,25% — 4 of 16,4 of 4 — 100%,50% — 1 of 2,2.0,0,1.0,0,18,15,2,9,16,30,419,608,17,15,9,6,22,15,35,13,0,1,13,8,24,24,73,79
0,Javi López,Jesús Navas,(4-4-2),(4-3-3),45%,55%,356 of 459 — 78%,82% — 455 of 554,2 of 7 — 29%,33% — 4 of 12,2 of 4 — 50%,100% — 2 of 2,2.0,0,2.0,0,11,17,8,4,14,9,536,643,13,11,10,5,17,15,12,19,2,4,9,6,23,15,54,79
0,Joaquín,Javi Moyano,(4-2-3-1),(4-4-2),48%,52%,340 of 421 — 81%,84% — 384 of 459,4 of 13 — 31%,21% — 3 of 14,1 of 3 — 33%,75% — 3 of 4,2.0,1,6.0,0,11,19,6,1,13,14,515,556,8,15,4,12,6,7,11,16,2,1,8,4,23,16,51,64
0,Koke,Jorge Molina,(4-1-2-1-2),(4-4-2),57%,43%,366 of 453 — 81%,73% — 249 of 340,4 of 4 — 100%,0% — 0 of 6,0 of 0 — %,75% — 3 of 4,4.5,0,4.0,1,19,22,3,4,7,28,535,422,12,9,13,6,19,19,19,8,3,0,9,1,21,20,69,84
0,Víctor Díaz,Jesús Navas,(4-2-3-1),(4-2-3-1),46%,54%,318 of 431 — 74%,79% — 407 of 514,0 of 12 — 0%,55% — 6 of 11,5 of 6 — 83%,% — 0 of 0,1.0,0,1.0,0,13,14,6,6,22,14,542,631,13,21,7,7,12,29,15,24,2,4,8,14,27,18,75,89
