,t1_captain,t2_captain,t1_formation,t2_formation,t1_possession,t2_possession,t1_passing,t2_passing,t1_shots,t2_shots,t1_saves,t2_saves,t1_yellow_cards,t1_red_cards,t2_yellow_cards,t2_red_cards,t1_fouls,t2_fouls,t1_corners,t2_corners,t1_crosses,t2_crosses,t1_touches,t2_touches,t1_tackles,t2_tackles,t1_interceptions,t2_interceptions,t1_aerials_won,t2_aerials_won,t1_clearances,t2_clearances,t1_offsides,t2_offsides,t1_goal_kicks,t2_goal_kicks,t1_throw_ins,t2_throw_ins,t1_long_balls,t2_long_balls
0,Miguel Veloso,Gian Marco Ferrari,(3-4-3),(4-2-3-1),40%,60%,278 of 355 — 78%,88% — 478 of 543,3 of 14 — 21%,39% — 7 of 18,4 of 7 — 57%,66% — 2 of 3,4.5,0,2.0,0,11,12,7,4,26,5,436,634,12,7,7,5,9,9,9,18,0,1,6,12,14,6,62,50
0,Samir Handanović,Domenico Criscito,(3-5-1-1),(3-4-1-2),60%,40%,562 of 636 — 88%,85% — 360 of 426,8 of 16 — 50%,40% — 4 of 10,4 of 4 — 100%,50% — 4 of 8,1.0,0,2.0,0,18,7,8,2,25,11,729,533,18,13,5,15,8,8,14,24,2,2,7,9,15,12,60,43
0,Rolando Mandragora,José Luis Palomino,(3-4-3),(3-4-3),48%,52%,297 of 416 — 71%,72% — 329 of 456,7 of 21 — 33%,29% — 2 of 7,0 of 2 — 0%,85% — 6 of 7,2.0,0,2.0,0,17,13,5,1,16,4,547,580,14,17,13,8,23,43,9,25,0,0,1,9,18,28,89,77
0,Simone Romagnoli,Ciro Immobile,(4-1-2-1-2),(4-3-3),46%,54%,408 of 505 — 81%,86% — 516 of 599,3 of 16 — 19%,43% — 3 of 7,1 of 3 — 33%,66% — 2 of 3,2.0,0,1.0,0,13,10,5,3,20,11,613,716,23,26,12,15,6,7,14,17,2,0,4,9,28,15,63,67
0,Bram Nuytinck,Paulo Dybala,(3-5-1-1),(4-4-2),44%,56%,357 of 436 — 82%,86% — 483 of 564,5 of 11 — 45%,30% — 3 of 10,1 of 3 — 33%,80% — 4 of 5,1.0,0,3.0,0,13,14,3,3,17,8,519,644,11,12,8,13,9,8,6,13,2,3,6,5,19,22,42,71
0,Roberto Soriano,Milan Đurić,(4-2-3-1),(3-5-2),71%,29%,483 of 588 — 82%,52% — 128 of 244,7 of 18 — 39%,33% — 3 of 9,2 of 3 — 66%,57% — 4 of 7,9.0,0,4.5,0,13,15,9,4,18,16,698,344,12,15,6,7,17,15,23,26,0,2,6,7,18,27,46,75
0,Lorenzo Insigne,Cristian Molinaro,(4-3-3),(4-3-3),56%,44%,521 of 591 — 88%,87% — 400 of 459,3 of 11 — 27%,50% — 4 of 8,4 of 4 — 100%,66% — 2 of 3,1.0,1,7.0,0,5,22,2,2,7,17,662,536,13,10,12,10,5,5,9,5,3,1,8,7,14,14,39,42
0,Lorenzo Pellegrini,Cristiano Biraghi,(4-2-3-1),(4-3-3),42%,58%,331 of 405 — 82%,88% — 487 of 556,6 of 11 — 55%,73% — 8 of 11,7 of 8 — 87%,50% — 3 of 6,4.5,0,2.0,1,12,15,4,4,11,14,498,640,13,12,11,13,12,7,17,4,4,2,3,6,18,19,71,62
0,João Pedro,Giulio Maggiore,(3-4-3),(3-4-3),58%,42%,410 of 527 — 78%,75% — 279 of 374,7 of 19 — 37%,33% — 4 of 12,2 of 4 — 50%,85% — 6 of 7,2.0,0,3.0,0,17,15,11,4,25,13,632,494,12,15,11,10,17,19,18,27,1,4,8,13,21,12,77,56
0,Fabio Quagliarella,Davide Calabria,(4-4-2),(4-2-3-1),50%,50%,337 of 446 — 76%,78% — 344 of 443,3 of 16 — 19%,36% — 4 of 11,3 of 4 — 75%,100% — 3 of 3,3.0,0,1.0,0,17,15,8,3,21,14,538,564,18,16,7,9,18,16,14,16,3,3,9,8,18,13,65,66
0,Bram Nuytinck,Pietro Ceccaroni,(3-5-1-1),(4-3-3),45%,55%,362 of 467 — 78%,83% — 473 of 573,10 of 21 — 48%,27% — 3 of 11,3 of 3 — 100%,70% — 7 of 10,2.0,0,3.0,0,11,8,7,2,15,17,592,685,15,17,13,9,7,12,21,8,4,2,12,6,19,14,62,65
0,Davide Faraoni,Samir Handanović,(3-4-3),(3-5-1-1),43%,57%,279 of 374 — 75%,78% — 383 of 492,1 of 8 — 13%,47% — 7 of 15,4 of 7 — 57%,0% — 0 of 1,2.0,0,2.0,0,13,12,6,4,13,21,489,593,9,26,14,10,16,16,18,8,1,0,7,8,16,21,57,70
0,Rafael Tolói,Lorenzo De Silvestri,(3-4-3),(4-3-3),59%,41%,469 of 591 — 79%,70% — 289 of 415,3 of 22 — 14%,25% — 1 of 4,1 of 1 — 100%,100% — 3 of 3,2.0,0,5.0,0,11,14,5,5,20,14,712,531,12,21,9,14,29,12,10,24,2,0,2,14,19,24,64,84
0,Ciro Immobile,Giulio Maggiore,(4-3-3),(3-4-3),61%,39%,646 of 717 — 90%,81% — 378 of 467,9 of 17 — 53%,40% — 2 of 5,1 of 2 — 50%,33% — 3 of 9,0.0,0,2.0,1,12,9,4,2,9,9,795,520,12,5,7,6,7,2,6,8,1,0,6,5,9,22,52,51
0,Cristiano Biraghi,Andrea Belotti,(4-3-3),(3-4-1-2),58%,42%,365 of 464 — 79%,70% — 237 of 339,6 of 9 — 67%,20% — 1 of 5,0 of 1 — 0%,66% — 4 of 6,4.0,0,5.0,0,13,28,3,3,19,11,535,421,12,10,6,13,23,16,14,13,3,2,4,6,24,15,91,76
0,Paulo Dybala,Leonardo Mancuso,(4-3-1-2),(4-3-1-2),54%,46%,379 of 477 — 79%,72% — 287 of 400,5 of 18 — 28%,27% — 3 of 11,2 of 3 — 66%,100% — 5 of 5,2.0,0,3.0,0,10,6,8,9,36,20,614,514,14,17,11,5,18,12,24,27,1,3,7,17,22,29,99,76
