Wk,Day,Date,Time,Home,Away,xG,xG.1,Score,Attendance,Referee,season,game_id
1.0,Fri,2018-08-24,20:30,Bayern Munich,Hoffenheim,2.7,0.7,3–1,75000.0,Bastian Dankert,2018-2019,0
1.0,Sat,2018-08-25,15:30,Düsseldorf,Augsburg,0.9,1.0,1–2,40996.0,Markus Schmidt,2018-2019,1
1.0,Sat,2018-08-25,15:30,Hertha BSC,Nürnberg,1.4,1.7,1–0,52729.0,Tobias Welz,2018-2019,2
1.0,Sat,2018-08-25,15:30,Werder Bremen,Hannover 96,2.1,1.2,1–1,42100.0,Felix Brych,2018-2019,3
1.0,Sat,2018-08-25,15:30,Wolfsburg,Schalke 04,1.0,1.4,2–1,26621.0,Patrick Ittrich,2018-2019,4
1.0,Sat,2018-08-25,15:30,Freiburg,Eint Frankfurt,1.7,0.8,0–2,24000.0,Manuel Gräfe,2018-2019,5
1.0,Sat,2018-08-25,18:30,Gladbach,Leverkusen,3.3,1.1,2–0,53087.0,Christian Dingert,2018-2019,6
1.0,Sun,2018-08-26,15:30,Mainz 05,Stuttgart,1.2,0.9,1–0,28705.0,Daniel Siebert,2018-2019,7
1.0,Sun,2018-08-26,18:00,Dortmund,RB Leipzig,1.4,1.6,4–1,80365.0,Deniz Aytekin,2018-2019,8
2.0,Fri,2018-08-31,20:30,Hannover 96,Dortmund,0.5,0.8,0–0,49000.0,Felix Zwayer,2018-2019,10
2.0,Sat,2018-09-01,15:30,Augsburg,Gladbach,2.0,1.2,1–1,29580.0,Frank Willenborg,2018-2019,11
2.0,Sat,2018-09-01,15:30,Nürnberg,Mainz 05,1.5,0.5,1–1,37781.0,Guido Winkmann,2018-2019,12
2.0,Sat,2018-09-01,15:30,Hoffenheim,Freiburg,3.7,1.2,3–1,28619.0,Robert Hartmann,2018-2019,13
2.0,Sat,2018-09-01,15:30,Eint Frankfurt,Werder Bremen,1.3,1.3,1–2,50000.0,Sören Storks,2018-2019,14
2.0,Sat,2018-09-01,15:30,Leverkusen,Wolfsburg,1.1,1.7,1–3,26247.0,Sven Jablonski,2018-2019,15
2.0,Sat,2018-09-01,18:30,Stuttgart,Bayern Munich,0.2,1.4,0–3,58680.0,Harm Osmers,2018-2019,16
2.0,Sun,2018-09-02,15:30,RB Leipzig,Düsseldorf,2.3,1.4,1–1,34975.0,Marco Fritz,2018-2019,17
2.0,Sun,2018-09-02,18:00,Schalke 04,Hertha BSC,1.6,0.5,0–2,60181.0,Sascha Stegemann,2018-2019,18
3.0,Fri,2018-09-14,20:30,Dortmund,Eint Frankfurt,1.6,0.3,3–1,81000.0,Benjamin Cortus,2018-2019,20
3.0,Sat,2018-09-15,15:30,Wolfsburg,Hertha BSC,2.4,0.7,2–2,25090.0,Christian Dingert,2018-2019,21
3.0,Sat,2018-09-15,15:30,RB Leipzig,Hannover 96,2.2,1.3,3–2,38937.0,Robert Kampka,2018-2019,22
3.0,Sat,2018-09-15,15:30,Bayern Munich,Leverkusen,1.4,0.8,3–1,75000.0,Tobias Welz,2018-2019,23
3.0,Sat,2018-09-15,15:30,Düsseldorf,Hoffenheim,1.8,2.2,2–1,40111.0,Tobias Stieler,2018-2019,24
3.0,Sat,2018-09-15,15:30,Mainz 05,Augsburg,3.3,0.7,2–1,21105.0,Martin Petersen,2018-2019,25
3.0,Sat,2018-09-15,18:30,Gladbach,Schalke 04,1.1,1.1,2–1,54022.0,Manuel Gräfe,2018-2019,26
3.0,Sun,2018-09-16,15:30,Werder Bremen,Nürnberg,0.7,0.6,1–1,42100.0,Daniel Schlager,2018-2019,27
3.0,Sun,2018-09-16,18:00,Freiburg,Stuttgart,1.2,1.6,3–3,24000.0,Deniz Aytekin,2018-2019,28
4.0,Fri,2018-09-21,20:30,Stuttgart,Düsseldorf,1.4,1.1,0–0,54410.0,Robert Hartmann,2018-2019,30
4.0,Sat,2018-09-22,15:30,Hertha BSC,Gladbach,3.9,2.7,4–2,51852.0,Markus Schmidt,2018-2019,31
4.0,Sat,2018-09-22,15:30,Wolfsburg,Freiburg,1.0,2.1,1–3,23011.0,Sascha Stegemann,2018-2019,32
4.0,Sat,2018-09-22,15:30,Nürnberg,Hannover 96,1.7,0.7,2–0,36736.0,Bastian Dankert,2018-2019,33
4.0,Sat,2018-09-22,15:30,Hoffenheim,Dortmund,2.0,1.3,1–1,30150.0,Harm Osmers,2018-2019,34
4.0,Sat,2018-09-22,15:30,Augsburg,Werder Bremen,2.1,1.4,2–3,28434.0,Felix Zwayer,2018-2019,35
4.0,Sat,2018-09-22,18:30,Schalke 04,Bayern Munich,0.5,2.4,0–2,62271.0,Daniel Siebert,2018-2019,36
4.0,Sun,2018-09-23,15:30,Leverkusen,Mainz 05,1.4,0.8,1–0,27473.0,Marco Fritz,2018-2019,37
4.0,Sun,2018-09-23,18:00,Eint Frankfurt,RB Leipzig,1.9,2.3,1–1,43800.0,Felix Brych,2018-2019,38
5.0,Tue,2018-09-25,18:30,Werder Bremen,Hertha BSC,2.9,0.9,3–1,39100.0,Guido Winkmann,2018-2019,40
5.0,Tue,2018-09-25,20:30,Bayern Munich,Augsburg,1.6,1.4,1–1,75000.0,Sören Storks,2018-2019,41
5.0,Tue,2018-09-25,20:30,Freiburg,Schalke 04,1.4,1.1,1–0,24000.0,Frank Willenborg,2018-2019,42
5.0,Tue,2018-09-25,20:30,Hannover 96,Hoffenheim,2.2,1.9,1–3,33500.0,Christian Dingert,2018-2019,43
5.0,Wed,2018-09-26,18:30,Düsseldorf,Leverkusen,1.9,1.2,1–2,40046.0,Manuel Gräfe,2018-2019,44
5.0,Wed,2018-09-26,20:30,Gladbach,Eint Frankfurt,1.6,1.0,3–1,41257.0,Sven Jablonski,2018-2019,45
5.0,Wed,2018-09-26,20:30,RB Leipzig,Stuttgart,2.7,0.7,2–0,32187.0,Robert Schröder,2018-2019,46
5.0,Wed,2018-09-26,20:30,Dortmund,Nürnberg,1.9,0.2,7–0,75700.0,Patrick Ittrich,2018-2019,47
5.0,Wed,2018-09-26,20:30,Mainz 05,Wolfsburg,0.5,1.3,0–0,19205.0,Tobias Stieler,2018-2019,48
6.0,Fri,2018-09-28,20:30,Hertha BSC,Bayern Munich,1.4,2.4,2–0,74669.0,Marco Fritz,2018-2019,50
6.0,Sat,2018-09-29,15:30,Hoffenheim,RB Leipzig,1.8,1.5,1–2,28115.0,Deniz Aytekin,2018-2019,51
6.0,Sat,2018-09-29,15:30,Wolfsburg,Gladbach,1.2,0.9,2–2,24100.0,Felix Zwayer,2018-2019,52
6.0,Sat,2018-09-29,15:30,Schalke 04,Mainz 05,1.5,0.8,1–0,61810.0,Benjamin Cortus,2018-2019,53
6.0,Sat,2018-09-29,15:30,Stuttgart,Werder Bremen,2.5,1.0,2–1,58569.0,Tobias Welz,2018-2019,54
6.0,Sat,2018-09-29,15:30,Nürnberg,Düsseldorf,2.2,1.1,3–0,36102.0,Harm Osmers,2018-2019,55
6.0,Sat,2018-09-29,18:30,Leverkusen,Dortmund,0.9,2.7,2–4,30210.0,Felix Brych,2018-2019,56
6.0,Sun,2018-09-30,15:30,Eint Frankfurt,Hannover 96,2.2,0.5,4–1,46300.0,Robert Hartmann,2018-2019,57
6.0,Sun,2018-09-30,18:00,Augsburg,Freiburg,3.6,1.9,4–1,26488.0,Robert Kampka,2018-2019,58
7.0,Fri,2018-10-05,20:30,Werder Bremen,Wolfsburg,1.1,0.6,2–0,42100.0,Martin Petersen,2018-2019,60
7.0,Sat,2018-10-06,15:30,Mainz 05,Hertha BSC,1.6,1.0,0–0,22405.0,Daniel Schlager,2018-2019,61
7.0,Sat,2018-10-06,15:30,Hannover 96,Stuttgart,1.7,0.8,3–1,40800.0,Sascha Stegemann,2018-2019,62
7.0,Sat,2018-10-06,15:30,Dortmund,Augsburg,2.1,2.5,4–3,81365.0,Markus Schmidt,2018-2019,63
7.0,Sat,2018-10-06,15:30,Düsseldorf,Schalke 04,0.7,1.9,0–2,52000.0,Sven Jablonski,2018-2019,64
7.0,Sat,2018-10-06,18:30,Bayern Munich,Gladbach,0.9,0.4,0–3,75000.0,Frank Willenborg,2018-2019,65
7.0,Sun,2018-10-07,13:30,Freiburg,Leverkusen,0.5,0.7,0–0,23800.0,Bastian Dankert,2018-2019,66
7.0,Sun,2018-10-07,15:30,Hoffenheim,Eint Frankfurt,2.7,0.9,1–2,29785.0,Daniel Siebert,2018-2019,67
7.0,Sun,2018-10-07,18:00,RB Leipzig,Nürnberg,2.9,0.3,6–0,37389.0,Tobias Stieler,2018-2019,68
8.0,Fri,2018-10-19,20:30,Eint Frankfurt,Düsseldorf,3.4,0.7,7–1,51000.0,Deniz Aytekin,2018-2019,70
8.0,Sat,2018-10-20,15:30,Wolfsburg,Bayern Munich,0.9,2.6,1–3,30000.0,Guido Winkmann,2018-2019,71
8.0,Sat,2018-10-20,15:30,Stuttgart,Dortmund,1.0,0.9,0–4,59000.0,Manuel Gräfe,2018-2019,72
8.0,Sat,2018-10-20,15:30,Leverkusen,Hannover 96,2.3,0.9,2–2,26435.0,Patrick Ittrich,2018-2019,73
8.0,Sat,2018-10-20,15:30,Augsburg,RB Leipzig,0.3,1.1,0–0,28703.0,Tobias Welz,2018-2019,74
8.0,Sat,2018-10-20,15:30,Nürnberg,Hoffenheim,1.1,2.5,1–3,36472.0,Felix Zwayer,2018-2019,75
8.0,Sat,2018-10-20,18:30,Schalke 04,Werder Bremen,1.2,0.4,0–2,62271.0,Christian Dingert,2018-2019,76
8.0,Sun,2018-10-21,15:30,Hertha BSC,Freiburg,0.9,0.5,1–1,53716.0,Benjamin Cortus,2018-2019,77
8.0,Sun,2018-10-21,18:00,Gladbach,Mainz 05,2.7,0.9,4–0,51123.0,Sören Storks,2018-2019,78
9.0,Fri,2018-10-26,20:30,Freiburg,Gladbach,1.4,1.2,3–1,24000.0,Robert Hartmann,2018-2019,80
9.0,Sat,2018-10-27,15:30,Mainz 05,Bayern Munich,0.6,2.2,1–2,33305.0,Harm Osmers,2018-2019,81
9.0,Sat,2018-10-27,15:30,Dortmund,Hertha BSC,3.6,2.4,2–2,81000.0,Sascha Stegemann,2018-2019,82
9.0,Sat,2018-10-27,15:30,Düsseldorf,Wolfsburg,0.3,1.7,0–3,38043.0,Daniel Schlager,2018-2019,83
9.0,Sat,2018-10-27,15:30,Hannover 96,Augsburg,0.8,1.7,1–2,37600.0,Robert Kampka,2018-2019,84
9.0,Sat,2018-10-27,18:30,Hoffenheim,Stuttgart,2.8,0.3,4–0,30150.0,Frank Willenborg,2018-2019,85
9.0,Sun,2018-10-28,13:30,Nürnberg,Eint Frankfurt,0.9,1.1,1–1,42154.0,Robert Schröder,2018-2019,86
9.0,Sun,2018-10-28,15:30,RB Leipzig,Schalke 04,0.8,0.5,0–0,41939.0,Felix Brych,2018-2019,87
9.0,Sun,2018-10-28,18:00,Werder Bremen,Leverkusen,1.6,4.0,2–6,40400.0,Marco Fritz,2018-2019,88
10.0,Fri,2018-11-02,20:30,Stuttgart,Eint Frankfurt,1.0,2.7,0–3,58016.0,Sven Jablonski,2018-2019,90
10.0,Sat,2018-11-03,15:30,Augsburg,Nürnberg,2.1,1.3,2–2,30660.0,Patrick Ittrich,2018-2019,91
10.0,Sat,2018-11-03,15:30,Wolfsburg,Dortmund,0.5,1.2,0–1,30000.0,Daniel Siebert,2018-2019,92
10.0,Sat,2018-11-03,15:30,Bayern Munich,Freiburg,1.7,0.6,1–1,75000.0,Felix Zwayer,2018-2019,93
10.0,Sat,2018-11-03,15:30,Leverkusen,Hoffenheim,2.4,1.8,1–4,27589.0,Tobias Stieler,2018-2019,94
10.0,Sat,2018-11-03,15:30,Schalke 04,Hannover 96,2.9,1.3,3–1,61959.0,Markus Schmidt,2018-2019,95
10.0,Sat,2018-11-03,18:30,Hertha BSC,RB Leipzig,1.6,4.0,0–3,50382.0,Deniz Aytekin,2018-2019,96
10.0,Sun,2018-11-04,15:30,Gladbach,Düsseldorf,3.0,0.8,3–0,54022.0,Felix Brych,2018-2019,97
10.0,Sun,2018-11-04,18:00,Mainz 05,Werder Bremen,1.0,1.5,2–1,25105.0,Guido Winkmann,2018-2019,98
11.0,Fri,2018-11-09,20:30,Hannover 96,Wolfsburg,2.3,2.6,2–1,35800.0,Marco Fritz,2018-2019,100
11.0,Sat,2018-11-10,15:30,Werder Bremen,Gladbach,1.4,2.7,1–3,42100.0,Sören Storks,2018-2019,101
11.0,Sat,2018-11-10,15:30,Freiburg,Mainz 05,1.9,0.8,1–3,24000.0,Sascha Stegemann,2018-2019,102
11.0,Sat,2018-11-10,15:30,Hoffenheim,Augsburg,1.9,1.4,2–1,27009.0,Robert Schröder,2018-2019,103
11.0,Sat,2018-11-10,15:30,Düsseldorf,Hertha BSC,2.8,1.0,4–1,38743.0,Robert Hartmann,2018-2019,104
11.0,Sat,2018-11-10,15:30,Nürnberg,Stuttgart,0.6,1.5,0–2,50000.0,Christian Dingert,2018-2019,105
11.0,Sat,2018-11-10,18:30,Dortmund,Bayern Munich,2.7,1.9,3–2,81365.0,Manuel Gräfe,2018-2019,106
11.0,Sun,2018-11-11,15:30,RB Leipzig,Leverkusen,2.5,0.6,3–0,36155.0,Martin Petersen,2018-2019,107
11.0,Sun,2018-11-11,18:00,Eint Frankfurt,Schalke 04,2.2,0.8,3–0,50700.0,Benjamin Cortus,2018-2019,108
12.0,Fri,2018-11-23,20:30,Leverkusen,Stuttgart,2.3,0.5,2–0,24632.0,Robert Schröder,2018-2019,110
12.0,Sat,2018-11-24,15:30,Mainz 05,Dortmund,1.2,1.0,1–2,33305.0,Deniz Aytekin,2018-2019,111
12.0,Sat,2018-11-24,15:30,Augsburg,Eint Frankfurt,1.6,3.2,1–3,30660.0,Felix Zwayer,2018-2019,112
12.0,Sat,2018-11-24,15:30,Wolfsburg,RB Leipzig,1.4,0.5,1–0,22832.0,Tobias Stieler,2018-2019,113
12.0,Sat,2018-11-24,15:30,Bayern Munich,Düsseldorf,2.2,1.3,3–3,75000.0,Sven Jablonski,2018-2019,114
12.0,Sat,2018-11-24,15:30,Hertha BSC,Hoffenheim,3.1,1.3,3–3,44508.0,Tobias Welz,2018-2019,115
12.0,Sat,2018-11-24,18:30,Schalke 04,Nürnberg,2.5,2.3,5–2,62271.0,Guido Winkmann,2018-2019,116
12.0,Sun,2018-11-25,15:30,Freiburg,Werder Bremen,3.1,1.8,1–1,24000.0,Bastian Dankert,2018-2019,117
12.0,Sun,2018-11-25,18:00,Gladbach,Hannover 96,1.5,0.6,4–1,48692.0,Daniel Siebert,2018-2019,118
13.0,Fri,2018-11-30,20:30,Düsseldorf,Mainz 05,0.9,1.2,0–1,37091.0,Manuel Gräfe,2018-2019,120
13.0,Sat,2018-12-01,15:30,Hannover 96,Hertha BSC,1.0,2.2,0–2,35800.0,Felix Brych,2018-2019,121
13.0,Sat,2018-12-01,15:30,Werder Bremen,Bayern Munich,0.6,3.3,1–2,42100.0,Christian Dingert,2018-2019,122
13.0,Sat,2018-12-01,15:30,Stuttgart,Augsburg,0.9,1.7,1–0,52739.0,Harm Osmers,2018-2019,123
13.0,Sat,2018-12-01,15:30,Dortmund,Freiburg,2.7,0.2,2–0,81365.0,Frank Willenborg,2018-2019,124
13.0,Sat,2018-12-01,18:30,Hoffenheim,Schalke 04,2.1,2.2,1–1,30000.0,Robert Kampka,2018-2019,125
13.0,Sun,2018-12-02,15:30,RB Leipzig,Gladbach,2.1,0.6,2–0,41939.0,Markus Schmidt,2018-2019,126
13.0,Sun,2018-12-02,18:00,Eint Frankfurt,Wolfsburg,1.4,1.5,1–2,48000.0,Sascha Stegemann,2018-2019,127
13.0,Mon,2018-12-03,20:30,Nürnberg,Leverkusen,0.8,1.2,1–1,32238.0,Bibiana Steinhaus,2018-2019,128
14.0,Fri,2018-12-07,20:30,Werder Bremen,Düsseldorf,2.3,1.4,3–1,41500.0,Marco Fritz,2018-2019,130
14.0,Sat,2018-12-08,15:30,Wolfsburg,Hoffenheim,0.5,1.7,2–2,20602.0,Felix Zwayer,2018-2019,131
14.0,Sat,2018-12-08,15:30,Schalke 04,Dortmund,1.3,0.7,1–2,61767.0,Daniel Siebert,2018-2019,132
14.0,Sat,2018-12-08,15:30,Bayern Munich,Nürnberg,2.4,0.2,3–0,75000.0,Tobias Stieler,2018-2019,133
14.0,Sat,2018-12-08,15:30,Freiburg,RB Leipzig,2.1,1.4,3–0,23800.0,Tobias Welz,2018-2019,134
14.0,Sat,2018-12-08,15:30,Leverkusen,Augsburg,1.6,0.8,1–0,25558.0,Bastian Dankert,2018-2019,135
14.0,Sat,2018-12-08,18:30,Hertha BSC,Eint Frankfurt,0.3,1.3,1–0,42578.0,Daniel Schlager,2018-2019,136
14.0,Sun,2018-12-09,15:30,Mainz 05,Hannover 96,3.3,2.3,1–1,23305.0,Robert Hartmann,2018-2019,137
14.0,Sun,2018-12-09,18:00,Gladbach,Stuttgart,2.3,0.8,3–0,48590.0,Deniz Aytekin,2018-2019,138
15.0,Fri,2018-12-14,20:30,Nürnberg,Wolfsburg,0.7,0.7,0–2,29604.0,Sven Jablonski,2018-2019,140
15.0,Sat,2018-12-15,15:30,Hannover 96,Bayern Munich,0.4,3.6,0–4,49000.0,Sören Storks,2018-2019,141
15.0,Sat,2018-12-15,15:30,Hoffenheim,Gladbach,3.8,0.4,0–0,30150.0,Benjamin Cortus,2018-2019,142
15.0,Sat,2018-12-15,15:30,Düsseldorf,Freiburg,2.1,0.8,2–0,39301.0,Harm Osmers,2018-2019,143
15.0,Sat,2018-12-15,15:30,Augsburg,Schalke 04,1.8,0.7,1–1,27233.0,Manuel Gräfe,2018-2019,144
15.0,Sat,2018-12-15,15:30,Stuttgart,Hertha BSC,1.5,1.4,2–1,47680.0,Sascha Stegemann,2018-2019,145
15.0,Sat,2018-12-15,18:30,Dortmund,Werder Bremen,2.9,0.6,2–1,81365.0,Guido Winkmann,2018-2019,146
15.0,Sun,2018-12-16,15:30,RB Leipzig,Mainz 05,3.8,1.1,4–1,30136.0,Martin Petersen,2018-2019,147
15.0,Sun,2018-12-16,18:00,Eint Frankfurt,Leverkusen,3.1,0.8,2–1,46500.0,Felix Brych,2018-2019,148
16.0,Tue,2018-12-18,18:30,Gladbach,Nürnberg,3.3,1.1,2–0,42323.0,Robert Schröder,2018-2019,150
16.0,Tue,2018-12-18,20:30,Düsseldorf,Dortmund,1.2,1.2,2–1,52000.0,Tobias Welz,2018-2019,151
16.0,Tue,2018-12-18,20:30,Wolfsburg,Stuttgart,1.6,0.5,2–0,21780.0,Robert Hartmann,2018-2019,152
16.0,Tue,2018-12-18,20:30,Hertha BSC,Augsburg,1.5,0.8,2–2,27939.0,Frank Willenborg,2018-2019,153
16.0,Wed,2018-12-19,18:30,Schalke 04,Leverkusen,1.7,0.4,1–2,61548.0,Deniz Aytekin,2018-2019,154
