Season,Position,Team,Matches,Wins,Draws,Losses,Goals,Goal Difference,Points,Pts/Match
21/22,9,Valencia,38,11,15,12,48:53,-5,48,1.263157894736842
21/22,10,Osasuna,38,12,11,15,37:51,-14,47,1.236842105263158
21/22,11,Celta Vigo,38,12,10,16,43:43,0,46,1.2105263157894737
21/22,12,Rayo,38,11,9,18,39:50,-11,42,1.105263157894737
21/22,13,Elche,38,11,9,18,40:52,-12,42,1.105263157894737
21/22,14,Espanyol,38,10,12,16,40:53,-13,42,1.105263157894737
21/22,15,Getafe,38,8,15,15,33:41,-8,39,1.0263157894736843
21/22,16,Mallorca,38,10,9,19,36:63,-27,39,1.0263157894736843
21/22,17,Cádiz,38,8,15,15,35:51,-16,39,1.0263157894736843
21/22,18,Granada,38,8,14,16,44:61,-17,38,1.0
21/22,19,Levante,38,8,11,19,51:76,-25,35,0.9210526315789473
21/22,20,Alavés,38,8,7,23,31:65,-34,31,0.8157894736842105
20/21,1,Atlético Madrid,38,26,8,4,67:25,42,86,2.263157894736842
20/21,2,Real Madrid,38,25,9,4,67:28,39,84,2.210526315789474
20/21,3,Barcelona,38,24,7,7,85:38,47,79,2.0789473684210527
20/21,4,Sevilla,38,24,5,9,53:33,20,77,2.026315789473684
20/21,5,Sociedad,38,17,11,10,59:38,21,62,1.631578947368421
20/21,6,Real Betis,38,17,10,11,50:50,0,61,1.605263157894737
20/21,7,Villarreal,38,15,13,10,60:44,16,58,1.5263157894736843
20/21,8,Celta Vigo,38,14,11,13,55:57,-2,53,1.394736842105263
20/21,9,Bilbao,38,11,13,14,46:42,4,46,1.2105263157894737
20/21,10,Granada,38,13,7,18,47:65,-18,46,1.2105263157894737
20/21,11,Osasuna,38,11,11,16,37:48,-11,44,1.1578947368421053
20/21,12,Cádiz,38,11,11,16,36:58,-22,44,1.1578947368421053
20/21,13,Valencia,38,10,13,15,50:53,-3,43,1.131578947368421
20/21,14,Levante,38,9,14,15,46:57,-11,41,1.0789473684210527
20/21,15,Getafe,38,9,11,18,28:43,-15,38,1.0
20/21,16,Alavés,38,9,11,18,36:57,-21,38,1.0
20/21,17,Elche,38,8,12,18,34:55,-21,36,0.9473684210526315
20/21,18,Huesca,38,7,13,18,34:53,-19,34,0.8947368421052632
20/21,19,Valladolid,38,5,16,17,34:57,-23,31,0.8157894736842105
20/21,20,Eibar,38,6,12,20,29:52,-23,30,0.7894736842105263
19/20,1,Real Madrid,38,26,9,3,70:25,45,87,2.289473684210526
19/20,2,Barcelona,38,25,7,6,86:38,48,82,2.1578947368421053
19/20,3,Atlético Madrid,38,18,16,4,51:27,24,70,1.8421052631578947
19/20,4,Sevilla,38,19,13,6,54:34,20,70,1.8421052631578947
19/20,5,Villarreal,38,18,6,14,63:49,14,60,1.5789473684210527
19/20,6,Sociedad,38,16,8,14,56:48,8,56,1.4736842105263157
19/20,7,Granada,38,16,8,14,52:45,7,56,1.4736842105263157
19/20,8,Getafe,38,14,12,12,43:37,6,54,1.4210526315789473
19/20,9,Valencia,38,14,11,13,46:53,-7,53,1.394736842105263
19/20,10,Osasuna,38,13,13,12,46:54,-8,52,1.368421052631579
19/20,11,Bilbao,38,13,12,13,41:38,3,51,1.3421052631578947
19/20,12,Levante,38,14,7,17,47:53,-6,49,1.2894736842105263
19/20,13,Valladolid,38,9,15,14,32:43,-11,42,1.105263157894737
19/20,14,Eibar,38,11,9,18,39:56,-17,42,1.105263157894737
19/20,15,Real Betis,38,10,11,17,48:60,-12,41,1.0789473684210527
19/20,16,Alavés,38,10,9,19,34:59,-25,39,1.0263157894736843
19/20,17,Celta Vigo,38,7,16,15,37:49,-12,37,0.9736842105263158
19/20,18,Leganés,38,8,12,18,30:51,-21,36,0.9473684210526315
19/20,19,Mallorca,38,9,6,23,40:65,-25,33,0.868421052631579
19/20,20,Espanyol,38,5,10,23,27:58,-31,25,0.6578947368421053
18/19,1,Barcelona,38,26,9,3,90:36,54,87,2.289473684210526
18/19,2,Atlético Madrid,38,22,10,6,55:29,26,76,2.0
18/19,3,Real Madrid,38,21,5,12,63:46,17,68,1.7894736842105263
18/19,4,Valencia,38,15,16,7,51:35,16,61,1.605263157894737
18/19,5,Getafe,38,15,14,9,48:35,13,59,1.5526315789473684
18/19,6,Sevilla,38,17,8,13,62:47,15,59,1.5526315789473684
18/19,7,Espanyol,38,14,11,13,48:50,-2,53,1.394736842105263
18/19,8,Bilbao,38,13,14,11,41:45,-4,53,1.394736842105263
18/19,9,Sociedad,38,13,11,14,45:46,-1,50,1.3157894736842106
18/19,10,Real Betis,38,14,8,16,44:52,-8,50,1.3157894736842106
18/19,11,Alavés,38,13,11,14,39:50,-11,50,1.3157894736842106
18/19,12,Eibar,38,11,14,13,46:50,-4,47,1.236842105263158
18/19,13,Leganés,38,11,12,15,37:43,-6,45,1.1842105263157894
18/19,14,Villarreal,38,10,14,14,49:52,-3,44,1.1578947368421053
18/19,15,Levante,38,11,11,16,59:66,-7,44,1.1578947368421053
18/19,16,Valladolid,38,10,11,17,32:51,-19,41,1.0789473684210527
18/19,17,Celta Vigo,38,10,11,17,53:62,-9,41,1.0789473684210527
18/19,18,Girona,38,9,10,19,37:53,-16,37,0.9736842105263158
18/19,19,Huesca,38,7,12,19,43:65,-22,33,0.868421052631579
18/19,20,Rayo,38,8,8,22,41:70,-29,32,0.8421052631578947
17/18,1,Barcelona,38,28,9,1,99:29,70,93,2.4473684210526314
17/18,2,Atlético Madrid,38,23,10,5,58:22,36,79,2.0789473684210527
17/18,3,Real Madrid,38,22,10,6,94:44,50,76,2.0
17/18,4,Valencia,38,22,7,9,65:38,27,73,1.9210526315789473
17/18,5,Villarreal,38,18,7,13,57:50,7,61,1.605263157894737
17/18,6,Real Betis,38,18,6,14,60:61,-1,60,1.5789473684210527
17/18,7,Sevilla,38,17,7,14,49:58,-9,58,1.5263157894736843
17/18,8,Getafe,38,15,10,13,42:33,9,55,1.4473684210526316
17/18,9,Eibar,38,14,9,15,44:50,-6,51,1.3421052631578947
17/18,10,Girona,38,14,9,15,50:59,-9,51,1.3421052631578947
17/18,11,Espanyol,38,12,13,13,36:42,-6,49,1.2894736842105263
17/18,12,Sociedad,38,14,7,17,66:59,7,49,1.2894736842105263
17/18,13,Celta Vigo,38,13,10,15,59:60,-1,49,1.2894736842105263
17/18,14,Alavés,38,15,2,21,40:50,-10,47,1.236842105263158
17/18,15,Levante,38,11,13,14,44:58,-14,46,1.2105263157894737
17/18,16,Bilbao,38,10,13,15,41:49,-8,43,1.131578947368421
17/18,17,Leganés,38,12,7,19,34:51,-17,43,1.131578947368421
17/18,18,Dep. La Coruña,38,6,11,21,38:76,-38,29,0.7631578947368421
17/18,19,Las Palmas,38,5,7,26,24:74,-50,22,0.5789473684210527
17/18,20,Málaga,38,5,5,28,24:61,-37,20,0.5263157894736842
16/17,1,Real Madrid,38,29,6,3,106:41,65,93,2.4473684210526314
16/17,2,Barcelona,38,28,6,4,116:37,79,90,2.3684210526315788
16/17,3,Atlético Madrid,38,23,9,6,70:27,43,78,2.0526315789473686
16/17,4,Sevilla,38,21,9,8,69:49,20,72,1.894736842105263
16/17,5,Villarreal,38,19,10,9,56:33,23,67,1.763157894736842
16/17,6,Sociedad,38,19,7,12,59:53,6,64,1.6842105263157894
16/17,7,Bilbao,38,19,6,13,53:43,10,63,1.6578947368421053
16/17,8,Espanyol,38,15,11,12,49:50,-1,56,1.4736842105263157
16/17,9,Alavés,38,14,13,11,41:43,-2,55,1.4473684210526316
16/17,10,Eibar,38,15,9,14,56:51,5,54,1.4210526315789473
16/17,11,Málaga,38,12,10,16,49:55,-6,46,1.2105263157894737
16/17,12,Valencia,38,13,7,18,56:65,-9,46,1.2105263157894737
16/17,13,Celta Vigo,38,13,6,19,53:69,-16,45,1.1842105263157894
16/17,14,Las Palmas,38,10,9,19,53:74,-21,39,1.0263157894736843
16/17,15,Real Betis,38,10,9,19,41:64,-23,39,1.0263157894736843
16/17,16,Dep. La Coruña,38,8,12,18,43:61,-18,36,0.9473684210526315
16/17,17,Leganés,38,8,11,19,36:55,-19,35,0.9210526315789473
16/17,18,Sporting Gijón,38,7,10,21,42:72,-30,31,0.8157894736842105
16/17,19,Osasuna,38,4,10,24,40:94,-54,22,0.5789473684210527
16/17,20,Granada,38,4,8,26,30:82,-52,20,0.5263157894736842
15/16,1,Barcelona,38,29,4,5,112:29,83,91,2.3947368421052633
15/16,2,Real Madrid,38,28,6,4,110:34,76,90,2.3684210526315788
15/16,3,Atlético Madrid,38,28,4,6,63:18,45,88,2.3157894736842106
15/16,4,Villarreal,38,18,10,10,44:35,9,64,1.6842105263157894
15/16,5,Bilbao,38,18,8,12,58:45,13,62,1.631578947368421
15/16,6,Celta Vigo,38,17,9,12,51:59,-8,60,1.5789473684210527
15/16,7,Sevilla,38,14,10,14,51:50,1,52,1.368421052631579
15/16,8,Málaga,38,12,12,14,38:35,3,48,1.263157894736842
15/16,9,Sociedad,38,13,9,16,45:48,-3,48,1.263157894736842
15/16,10,Real Betis,38,11,12,15,34:52,-18,45,1.1842105263157894
15/16,11,Las Palmas,38,12,8,18,45:53,-8,44,1.1578947368421053
15/16,12,Valencia,38,11,11,16,46:48,-2,44,1.1578947368421053
15/16,13,Eibar,38,11,10,17,49:61,-12,43,1.131578947368421
15/16,14,Espanyol,38,12,7,19,40:74,-34,43,1.131578947368421
15/16,15,Dep. La Coruña,38,8,18,12,45:61,-16,42,1.105263157894737
15/16,16,Granada,38,10,9,19,46:69,-23,39,1.0263157894736843
15/16,17,Sporting Gijón,38,10,9,19,40:62,-22,39,1.0263157894736843
15/16,18,Rayo,38,9,11,18,52:73,-21,38,1.0
15/16,19,Getafe,38,9,9,20,37:67,-30,36,0.9473684210526315
15/16,20,Levante,38,8,8,22,37:70,-33,32,0.8421052631578947
